,count,mean,std,min,25%,50%,75%,max
"value_norm__fft_coefficient__attr_""real""__coeff_11",156.0,0.02940185199836523,0.5882781664515934,-3.033601402328375,-0.20480613457209698,0.033703114545959395,0.21661625952820987,2.58326793939262
"value_norm__fft_coefficient__attr_""real""__coeff_12",156.0,0.12220746122413867,0.7423024556466937,-3.333502905923456,-0.14837887880381184,-0.0042670410982112005,0.18792502750131335,3.150385405005492
"value_norm__fft_coefficient__attr_""real""__coeff_13",156.0,-0.03372686223080273,0.41040934404202073,-2.301171497260228,-0.16687535841363485,-0.011466785199404,0.13157570415781705,2.022913403170978
"value_norm__fft_coefficient__attr_""real""__coeff_14",156.0,-0.018168590689003172,0.33100654694931625,-1.426408340928278,-0.15763552229368258,-0.0124111427027369,0.10141535973067234,1.8733152631667185
"value_norm__fft_coefficient__attr_""real""__coeff_15",156.0,-0.01713284574528452,0.3375427151168625,-1.9253610050512888,-0.14436675902188217,-0.023316928795223152,0.0840888012615697,1.6847101686040302
"value_norm__fft_coefficient__attr_""real""__coeff_16",156.0,-0.0007058936743145683,0.27838446840902653,-1.2531842283559151,-0.11523605466199992,-0.02315529964647515,0.09569755744661006,1.5431040727855232
"value_norm__fft_coefficient__attr_""real""__coeff_17",156.0,-0.013315458321994265,0.22393911102576936,-0.6412451960805087,-0.13436632410196847,-0.0336980604771316,0.06975796813872642,1.3582444675797605
"value_norm__fft_coefficient__attr_""real""__coeff_18",156.0,-0.013930130175581997,0.23066554098064854,-0.8142199579420517,-0.1315392019923055,-0.024101418409313048,0.09657537948641284,1.2823535496322482
"value_norm__fft_coefficient__attr_""real""__coeff_19",156.0,-0.006610738671775623,0.20752580591175418,-0.8388650487351318,-0.12539558694582684,-0.01819189302456255,0.08844853715942545,1.1533562723477644
"value_norm__fft_coefficient__attr_""real""__coeff_20",156.0,-0.009596705770953938,0.19766131509514387,-0.7829603098148941,-0.11665859085259793,-0.0299764669771884,0.0731721918220095,1.0970233562647522
"value_norm__fft_coefficient__attr_""real""__coeff_21",156.0,-0.00819734587077381,0.19181244631256417,-0.4713362659031592,-0.12240656965185205,-0.0207341191462439,0.07824349592025448,1.0769077368485958
"value_norm__fft_coefficient__attr_""real""__coeff_22",156.0,-0.0151249882213344,0.19012293952103493,-0.5469766311589956,-0.127283350680976,-0.02007222557596005,0.07417839407840081,1.0480891196083824
"value_norm__fft_coefficient__attr_""real""__coeff_23",156.0,-0.01017514097166674,0.18728971105881437,-0.6424069328221604,-0.11120701935802342,-0.022040964005431297,0.054899288318000804,0.982587620950974
"value_norm__fft_coefficient__attr_""real""__coeff_24",156.0,-0.0018661836059492216,0.1769919361959261,-0.4201732658442336,-0.10757364994949642,-0.0074835764018209,0.06850771907868848,0.8968285891726844
"value_norm__fft_coefficient__attr_""real""__coeff_25",156.0,-0.004964273392557798,0.17047005345643299,-0.4518094939320849,-0.11421515503874968,-0.007495259753753,0.06624304054537546,0.8577001624110752
"value_norm__fft_coefficient__attr_""real""__coeff_26",156.0,-0.012488586470061328,0.1767609214713904,-0.4686278050214817,-0.11968241527517892,-0.01155946415609145,0.06599969340491244,0.8449236388574188
"value_norm__fft_coefficient__attr_""real""__coeff_27",156.0,-0.008409194783261933,0.17841111081208819,-0.5137763400419251,-0.10278891317488231,-0.0135265165456549,0.055836323451616675,0.8392441178178399
"value_norm__fft_coefficient__attr_""real""__coeff_28",156.0,-0.006272724855798233,0.16776540624512956,-0.4742260403793435,-0.1037739441062228,-0.0145932166838978,0.0536971407892909,0.8184150647970738
"value_norm__fft_coefficient__attr_""real""__coeff_29",156.0,-0.002005308645365834,0.16070280858660219,-0.4383274788617545,-0.0867271296015646,-0.0142369078547796,0.06086800237922682,0.7724435513356462
"value_norm__fft_coefficient__attr_""real""__coeff_30",156.0,-0.0040436912239094685,0.16412653231081337,-0.4254249415615223,-0.09259981742435042,-0.01276635495244735,0.06448238395215222,0.7338579553914695
"value_norm__fft_coefficient__attr_""real""__coeff_31",156.0,-0.004645426097413734,0.16615216542586764,-0.4292101154550943,-0.09668925631391674,-0.01365559253755985,0.0701888213524024,0.7192238022538114
"value_norm__fft_coefficient__attr_""real""__coeff_32",156.0,-0.007229083178293347,0.16045278982798133,-0.4701194686217026,-0.09423639056809432,-0.0142218962688564,0.0506631229706335,0.7285080385775814
"value_norm__fft_coefficient__attr_""real""__coeff_33",156.0,-0.0038389517257370886,0.15858074105184536,-0.463225579123651,-0.0944709362513616,-0.0141898141235892,0.06937939237754387,0.7334535952665926
"value_norm__fft_coefficient__attr_""real""__coeff_34",156.0,-0.008582768168300883,0.16071237140462136,-0.4431744184231566,-0.09396134735444386,-0.01502083854377425,0.06522069476670447,0.7095409420558576
"value_norm__fft_coefficient__attr_""real""__coeff_35",156.0,-0.008407042962815543,0.16218399693590838,-0.4204701011999509,-0.1088233491965777,-0.01101109914521755,0.05848971217018535,0.6789390082080147
"value_norm__fft_coefficient__attr_""real""__coeff_36",156.0,-0.005149231199411925,0.15900439176819184,-0.4136964961315872,-0.09413023805684745,-0.0143310249159373,0.06436510003442109,0.6592042403866567
"value_norm__fft_coefficient__attr_""real""__coeff_37",156.0,-0.007719542732704094,0.15622496736883423,-0.4566444563944288,-0.10504893112234051,-0.015185906572687851,0.06593520639930339,0.6478453924402332
"value_norm__fft_coefficient__attr_""real""__coeff_38",156.0,-0.008574087916951644,0.15914183996400397,-0.443500277923778,-0.09582391500730655,-0.01459708715998545,0.0536497600885378,0.639088105709839
"value_norm__fft_coefficient__attr_""real""__coeff_39",156.0,-0.006863033684360653,0.16003833272649146,-0.4330868211357319,-0.09953466138192518,-0.01451321287851105,0.0662516212768208,0.648187413008856
"value_norm__fft_coefficient__attr_""real""__coeff_40",156.0,-0.008512337895975922,0.15930071781454447,-0.4187005474687936,-0.09194539472302976,-0.01798872127452435,0.05372449605695765,0.6446630939221406
"value_norm__fft_coefficient__attr_""real""__coeff_41",156.0,-0.0061521041331860805,0.15657014900523894,-0.4291790466759612,-0.09870015494170445,-0.0114449258433148,0.06590351551258924,0.6264369290735774
"value_norm__fft_coefficient__attr_""real""__coeff_42",156.0,-0.005936751292431765,0.15485512811673044,-0.4419265927804398,-0.09129589618969772,-0.01039911804648,0.06784468813177227,0.5939212413148707
"value_norm__fft_coefficient__attr_""real""__coeff_43",156.0,-0.0039087427083223875,0.1554492404349975,-0.4510035964738764,-0.0822139963139354,-0.0099902918437092,0.06153971718416625,0.5864405020647478
"value_norm__fft_coefficient__attr_""real""__coeff_44",156.0,-0.002955402750483444,0.15638505095358537,-0.4329622198655348,-0.08978051807182542,-0.0121243764007932,0.06067333514960288,0.5966000732738153
"value_norm__fft_coefficient__attr_""real""__coeff_45",156.0,-0.0034819152498683213,0.1551105707236137,-0.4036667852766472,-0.08644431010453485,-0.01308580028421565,0.07507057649368445,0.6151764803416401
"value_norm__fft_coefficient__attr_""real""__coeff_46",156.0,-0.007895729675911225,0.15208193591451202,-0.412060622787826,-0.08993805246161665,-0.011920884844439799,0.061926296536634375,0.5994181763087778
"value_norm__fft_coefficient__attr_""real""__coeff_47",156.0,-0.007623647077190583,0.1548196607343952,-0.4493747409256869,-0.09072239457808859,-0.015381234748405751,0.05663595785619885,0.5853132757009163
"value_norm__fft_coefficient__attr_""real""__coeff_48",156.0,-0.007770269569452979,0.15596298310730244,-0.4367412907104129,-0.0967275901596571,-0.0171078400149471,0.06904640444220152,0.5777110752470701
"value_norm__fft_coefficient__attr_""real""__coeff_49",156.0,-0.007898541247651488,0.15312320491672546,-0.4376247742512962,-0.09093200840647073,-0.01730396288794795,0.05726118473912505,0.565310109181105
"value_norm__fft_coefficient__attr_""real""__coeff_50",156.0,-0.004669850572360107,0.15063714225152514,-0.3874840045166303,-0.08259593142224869,-0.01237550384155345,0.06800751493698737,0.5763534083094135
"value_norm__fft_coefficient__attr_""real""__coeff_51",156.0,-0.005601032196124803,0.1523321453459215,-0.3832291684192702,-0.08883948325454954,-0.0110602272738743,0.0560332941596115,0.5898717609898496
"value_norm__fft_coefficient__attr_""real""__coeff_52",156.0,-0.006755603382594104,0.15550002835978,-0.4264775251815523,-0.09671035585195373,-0.011853936374002949,0.059545255565466346,0.5790346580439409
"value_norm__fft_coefficient__attr_""real""__coeff_53",156.0,-0.006877892615936283,0.15416979322836377,-0.4534644845772267,-0.10303195960070093,-0.0092979571275469,0.06994681414310508,0.566962355124329
"value_norm__fft_coefficient__attr_""real""__coeff_54",156.0,-0.003169570617807726,0.15048792054681862,-0.4301252157753769,-0.09714280444164897,-0.00916480536400975,0.0665466615307035,0.5419251063609078
"value_norm__fft_coefficient__attr_""real""__coeff_55",156.0,-0.0023380765442930318,0.1508453959834813,-0.4152150975073961,-0.09014440025771057,-0.0109730752351972,0.06361279384212852,0.5593104191900544
"value_norm__fft_coefficient__attr_""real""__coeff_56",156.0,-0.004686348964521893,0.15244316632893942,-0.4057083284216261,-0.08783107915759435,-0.01630270700449805,0.0627058036493245,0.5587266564394496
"value_norm__fft_coefficient__attr_""real""__coeff_57",156.0,-0.005867587191261005,0.1525552219967519,-0.431401488025288,-0.08718507728694597,-0.008864624397552201,0.06018467570819325,0.5680795675737997
"value_norm__fft_coefficient__attr_""real""__coeff_58",156.0,-0.006062369372432115,0.15084777506942101,-0.4236443228910508,-0.08673097431110878,-0.017438809953202447,0.061839935295283074,0.5668320739633785
"value_norm__fft_coefficient__attr_""real""__coeff_59",156.0,-0.005304609850162806,0.1504676121062667,-0.4581470184121787,-0.08756791890062818,-0.007740445257607051,0.06728012380798709,0.5438564911984066
"value_norm__fft_coefficient__attr_""real""__coeff_60",156.0,-0.007644578732317186,0.15227299901057004,-0.4508012189385807,-0.08294452371728513,-0.0177031152847087,0.05455604308232623,0.5416568098299317
"value_norm__fft_coefficient__attr_""real""__coeff_61",156.0,-0.005531273777515935,0.1528634641378711,-0.4195873708939368,-0.091274020147425,-0.01464770769002075,0.06572532628232185,0.5497746488964042
"value_norm__fft_coefficient__attr_""real""__coeff_62",156.0,-0.0010097485088816805,0.15121055609853112,-0.4054579681706953,-0.07948311241595796,-0.009935374210658,0.06327375688715217,0.5536832347095569
"value_norm__fft_coefficient__attr_""real""__coeff_63",156.0,-0.0041726506305830675,0.15090661887904075,-0.4174705799158075,-0.0868384778328415,-0.012806282527046301,0.0670990002974963,0.556167648177371
"value_norm__fft_coefficient__attr_""real""__coeff_64",156.0,-0.0030755324302359495,0.15171338962365874,-0.454476288427118,-0.08872985738600225,-0.00835703398648965,0.05874405064578182,0.552454537080524
"value_norm__fft_coefficient__attr_""real""__coeff_65",156.0,-0.003917208707734959,0.1516741911446471,-0.434457029080029,-0.09117395789555373,-0.008861550759340451,0.05958294495980913,0.5705775559779059
"value_norm__fft_coefficient__attr_""real""__coeff_66",156.0,-0.0037616025855847033,0.14970174242711218,-0.4548660217768024,-0.08408664348887555,-0.0044579750490318995,0.06405196110552422,0.546696393377925
"value_norm__fft_coefficient__attr_""real""__coeff_67",156.0,-0.005217447079122132,0.1480610898816171,-0.4015078595572462,-0.0906478876710907,-0.00904772254434515,0.057860389710649676,0.5241552857120368
"value_norm__fft_coefficient__attr_""real""__coeff_68",156.0,-0.003799640480131535,0.15088937566902907,-0.4339890426768165,-0.09026017195294608,-0.00509997167351215,0.08105274958047815,0.582231764568358
"value_norm__fft_coefficient__attr_""real""__coeff_69",156.0,-0.004833272779248123,0.14937653192253816,-0.4448954798333209,-0.09039096652292658,-0.0124039055937966,0.060403265068991026,0.5330467454235515
"value_norm__fft_coefficient__attr_""real""__coeff_70",156.0,-0.002978282738628155,0.14992775140247672,-0.4129365440215969,-0.08589633748574779,-0.00966294305692875,0.06097580787259027,0.54727585629283
"value_norm__fft_coefficient__attr_""real""__coeff_71",156.0,-0.004354879092244456,0.14923160686523837,-0.4149330203389837,-0.09272870799581397,-0.00912729928929415,0.05854630992937,0.5576879283984553
"value_norm__fft_coefficient__attr_""real""__coeff_72",156.0,-0.005441046762210104,0.14847614299750492,-0.4020098882228252,-0.08499389244884985,-0.01562990987474845,0.06320654131832673,0.5346780572529897
"value_norm__fft_coefficient__attr_""real""__coeff_73",156.0,-0.0031901770316256233,0.1496542921418671,-0.4354831019512524,-0.08127491692973973,-0.008209098247774,0.05655637246179537,0.5437115033210048
"value_norm__fft_coefficient__attr_""real""__coeff_74",156.0,-0.004224308718241548,0.14911440447547322,-0.4343900096427496,-0.08365092456140402,-0.01071335882306235,0.07104786676655644,0.5444927397052599
"value_norm__fft_coefficient__attr_""real""__coeff_75",156.0,-0.003915726656633552,0.15115685158330197,-0.4345281740793326,-0.08774664063472745,-0.01118426200303815,0.0604602411056931,0.5622184922843143
"value_norm__fft_coefficient__attr_""real""__coeff_76",156.0,-0.0012098477178292314,0.14726165325944135,-0.4070925046817692,-0.08106222697848517,-0.011774491573588751,0.060777537814000776,0.5493628527067458
"value_norm__fft_coefficient__attr_""real""__coeff_77",156.0,-0.0037336182998895864,0.14879353053998526,-0.4061012343082745,-0.07769162595707456,-0.00929780886488755,0.05554768070431027,0.557885780353848
"value_norm__fft_coefficient__attr_""real""__coeff_78",156.0,-0.003461026789218975,0.14885524647369966,-0.4085572481775317,-0.08100164155279257,-0.011053303287113549,0.06323021447491832,0.5577069821970345
"value_norm__fft_coefficient__attr_""real""__coeff_79",156.0,-0.0034201072582943004,0.14800911357439256,-0.4185442099179319,-0.0803959547923381,-0.011301649138673951,0.07248560469330072,0.5584230937346726
"value_norm__fft_coefficient__attr_""real""__coeff_80",156.0,-0.003186525053989843,0.14832893838325265,-0.4221524618753239,-0.08660871294872222,-0.01313606063231005,0.06758829764790952,0.5228902454180793
"value_norm__fft_coefficient__attr_""real""__coeff_81",156.0,-0.002472811077993751,0.15026489025017176,-0.4136251758563686,-0.08199088986309112,-0.012022384301849199,0.06002441789594243,0.5845545650646701
"value_norm__fft_coefficient__attr_""real""__coeff_82",156.0,-0.003242403354645973,0.14963910880573028,-0.4092162522320096,-0.09044710912513058,-0.008934947525446449,0.06191963256207107,0.5469295693076228
"value_norm__fft_coefficient__attr_""real""__coeff_83",156.0,-0.0030721885387100844,0.1486063164724976,-0.4275151728871431,-0.09383786882728913,-0.0078412177870864,0.06383472165978149,0.5401223685732992
"value_norm__fft_coefficient__attr_""real""__coeff_84",156.0,-0.0027967694379493857,0.14751370527907212,-0.4281853438630155,-0.0901157413625491,-0.01079288037412145,0.06347825425036185,0.5538791767990054
"value_norm__fft_coefficient__attr_""real""__coeff_85",156.0,-0.0017258303196826875,0.1497940514872601,-0.4389944762846142,-0.09161020429017794,-0.005358775965453699,0.07018844734375078,0.5563563270925107
"value_norm__fft_coefficient__attr_""real""__coeff_86",156.0,-0.0022293858440468224,0.15083845784013913,-0.4124337638638921,-0.08802579111504724,-0.0088464191963068,0.06358999428901987,0.5489861440600637
"value_norm__fft_coefficient__attr_""real""__coeff_87",156.0,-0.0022494831718068977,0.1491968824240027,-0.4068515308096008,-0.08837393036585986,-0.0093422006069694,0.06730363450140975,0.5335422171189685
"value_norm__fft_coefficient__attr_""real""__coeff_88",156.0,-0.0021990283185314903,0.14639987833017956,-0.4119970600357719,-0.08273348028408313,-0.008154522578335651,0.06303006506670877,0.5604613988835881
"value_norm__fft_coefficient__attr_""real""__coeff_89",156.0,-0.0023041767556221614,0.1477913925332517,-0.4310602342732733,-0.08830699197484346,-0.0079460593653825,0.06165364941743627,0.5547750121410433
"value_norm__fft_coefficient__attr_""real""__coeff_90",156.0,-0.0034958136187769853,0.14770214318797717,-0.4378805789942051,-0.08416021316722536,-0.010831560600863651,0.05419419148466593,0.5328176770993136
"value_norm__fft_coefficient__attr_""real""__coeff_91",156.0,-0.00035706887706163316,0.1468060183605253,-0.408307641370395,-0.07765562314672181,-0.00764114304110855,0.0647885959344169,0.540280994861088
"value_norm__fft_coefficient__attr_""real""__coeff_92",156.0,-0.001161002672884361,0.14674639479303606,-0.4207127135119304,-0.08852585455569988,-0.00811697115682435,0.07233062113657332,0.5521701615334561
"value_norm__fft_coefficient__attr_""real""__coeff_93",156.0,-0.0027345472556280816,0.14681247686402732,-0.4248394501913718,-0.08012013201959794,-0.0074901868273449,0.0641551267652508,0.5317220752346543
"value_norm__fft_coefficient__attr_""real""__coeff_94",156.0,-0.0028874056793150435,0.1495429046021381,-0.4097466807208891,-0.08663323672925397,-0.011983217924283751,0.07030561964835885,0.542437107438963
"value_norm__fft_coefficient__attr_""real""__coeff_95",156.0,-0.0013645297479860231,0.14710834961292318,-0.4344748526702808,-0.08898868247945882,-0.010488351358911449,0.060212891283109124,0.5374515823244657
"value_norm__fft_coefficient__attr_""real""__coeff_96",156.0,-0.0007374603410050892,0.14705158757807435,-0.4222857074846701,-0.08273396415640595,-0.00737546301858335,0.06667674969286817,0.5435217459175548
"value_norm__fft_coefficient__attr_""real""__coeff_97",156.0,-0.0011475367868723908,0.14803022077216493,-0.4104084874973427,-0.08374002351932375,-0.008855307984682901,0.07768748954055568,0.5530766356607558
"value_norm__fft_coefficient__attr_""real""__coeff_98",156.0,-0.00212968752522552,0.14762725741908142,-0.403442995161286,-0.0832444794369583,-0.011054610531506099,0.061472925376654025,0.5396894977029622
"value_norm__fft_coefficient__attr_""real""__coeff_99",156.0,-0.0018976544484439124,0.14835450404487444,-0.4059755901495942,-0.07610698480979644,-0.0091484108552453,0.05380285216961162,0.5426651375812425
"value_norm__fft_coefficient__attr_""imag""__coeff_0",156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"value_norm__fft_coefficient__attr_""imag""__coeff_1",156.0,-59.120588866165804,95.14049382708866,-250.807551442386,-126.84780165300067,-74.30784550542386,21.57387396195887,178.27656786546817
"value_norm__fft_coefficient__attr_""imag""__coeff_2",156.0,8.818035012389387,63.49979836944415,-194.0359842541563,-28.542132473353107,11.386349165488607,49.08312948781175,194.82997125773704
"value_norm__fft_coefficient__attr_""imag""__coeff_3",156.0,6.959171306588259,28.612030625625913,-104.73639222183844,-15.134340976710403,14.162657643757349,29.264665753601363,50.1213840786986
"value_norm__fft_coefficient__attr_""imag""__coeff_4",156.0,-1.915582819159904,24.68170168115688,-49.96757311925069,-21.229383328259072,-5.785955700824058,21.225171145774357,51.0254669480223
"value_norm__fft_coefficient__attr_""imag""__coeff_5",156.0,0.10524487146454721,12.003680965092991,-36.12492381655355,-7.5564598413948945,-0.05920241993931,6.950176497318674,49.90886249964208
"value_norm__fft_coefficient__attr_""imag""__coeff_6",156.0,2.598816585895269,9.44062376149811,-23.15070906590469,-2.1406856681766153,1.60491796694252,6.197342694006136,57.08128395139784
"value_norm__fft_coefficient__attr_""imag""__coeff_7",156.0,-0.09699533460139724,5.168480789547994,-17.792302573309524,-3.1273618774354675,-0.002904904913979149,3.8626519320376342,13.608649431267654
"value_norm__fft_coefficient__attr_""imag""__coeff_8",156.0,0.017823011604464156,3.8437597117981475,-10.544655944372597,-2.0106367221581873,0.4041004992934515,1.9000283798187494,13.442378392769402
