Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",1.1801019776572586e-05,"[7.940273803702305e-06, 4.0002105162780164e-05, 3.8859632182431073e-07, 5.395854168522119e-08, 2.890830148760832e-05, 6.992491985467434e-07, 4.614653919861044e-06]",7
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",8.133787337157776e-06,"[5.703534063558377e-07, 4.163452064750061e-06, 4.950186494188389e-08, 1.3229023116229207e-05, 6.843533070076802e-08, 2.1162582916256797e-05, 1.3963698161159972e-06, 2.4430580181911664e-05]",8
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",1.0315422879777613e-05,"[1.6894512319446104e-05, 3.2449099277362315e-06, 1.0806846392150504e-05]",3
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0006382600548726479,[0.0006382600548726479],1
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",3.847549713551026e-05,"[3.898910593561559e-05, 2.3718609505204756e-05, 5.271877596571045e-05]",3
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",2.9563367989597225e-06,"[1.2066444576999114e-05, 3.272527188797866e-07, 6.527863495818718e-08, 2.329637598947684e-06, 5.098763025521738e-06, 2.092613368839314e-09, 6.565605113214512e-06, 1.3741820339994615e-09, 1.5058272671364395e-07]",9
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",2.0055186862393208e-05,"[0.00013037971224430837, 2.164272496889888e-06, 1.5643466192670113e-06, 3.172286581016383e-09, 4.701982608629264e-06, 2.4472315736379124e-09, 1.5703745495032902e-06]",7
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",6.45511533271823e-06,[6.45511533271823e-06],1
"value_norm__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0003138251623126521,"[0.0005484486021763213, 7.920172244898292e-05]",2
value_norm__cid_ce__normalize_False,0.0005484486021763213,[0.0005484486021763213],1
value_norm__cid_ce__normalize_True,0.0005484486021763213,[0.0005484486021763213],1
