Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.0001901883232027,[0.0001901883232027629],1
"value_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",1.8689767187764055e-05,"[7.585946580075988e-05, 2.0518070920731496e-07, 1.4709489192785064e-06, 8.891122050844713e-07, 7.630668606261066e-06, 2.9272489364854202e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 4.9511207103888246e-05, 1.9775081556740314e-05]",10
"value_norm__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0001479246679421,[0.0001479246679421513],1
"value_norm__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",0.0002863767162501,[0.0002863767162501853],1
"value_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",2.07477305958006e-05,"[8.149844045033748e-05, 2.0518070920731496e-07, 1.594507526857493e-06, 8.891122050844713e-07, 7.630668606261066e-06, 3.358453401136815e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 5.697577396175735e-05, 2.2815570875566082e-05]",10
"value_norm__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",7.019860678752308e-05,[7.019860678752308e-05],1
"value_norm__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.0003500542606668,[0.0003500542606668332],1
"value_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",2.33319950831074e-05,"[0.00010088734973027149, 2.256968800207933e-07, 2.027959465140861e-06, 8.891122050844713e-07, 8.320707985019014e-06, 3.596052533759607e-05, 2.028136541948033e-06, 6.405221415762538e-07, 6.109634003766307e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.0003690893673695,"[0.0005416631136245149, 0.00045568058452084327, 0.0004805782252084892, 4.298010871816262e-05, 0.0003245448047756943]",5
"value_norm__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.0010403658202746,[0.0010403658202746441],1
"value_norm__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0005536718398316,[0.0005536718398316766],1
"value_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",2.48639736380774e-05,"[9.398590420380336e-05, 2.481886054002515e-07, 2.1961002367289765e-06, 1.0612801158999343e-06, 8.320707985019014e-06, 4.4083282721499625e-05, 1.7003741581757531e-06, 5.831434533908341e-07, 7.521715439410237e-05, 2.1243600506753894e-05]",10
"value_norm__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",0.0002304016964291,"[0.0002017840430974191, 0.0003740699401396637, 0.0001801990516901963, 0.0001580511830046009, 0.0002379042642136753]",5
"value_norm__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.0004217122491804,"[0.00020376087370776788, 0.0010043910559796923, 0.0003228389975026195, 0.00015585806953176794]",4
"value_norm__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.0009780211600922,[0.000978021160092201],1
