Feature,Mean P Value,P Values
"value_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",1.3691969197255997e-05,"[5.82795993783033e-06, 1.9577368117051228e-07, 4.659662553448952e-05, 2.1475176355336218e-06]"
"value_norm__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.0004115465521927242,"[0.0006985273392026906, 2.4586889455468752e-05, 2.0854940890777668e-05, 0.0009022170392219599]"
"value_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",1.7446276942403616e-05,"[7.352328590929741e-06, 2.141499195668533e-07, 5.913497190957196e-05, 3.083657349545911e-06]"
"value_norm__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",7.963751048328447e-05,"[6.836858586354823e-05, 3.279103156500762e-06, 6.458733544598842e-06, 0.00024044361936849]"
"value_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",3.8509112453925065e-05,"[1.8878245596384316e-05, 5.643944851085635e-07, 0.00012670653449746357, 7.887275236743804e-06]"
"value_norm__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",7.5034410074509004e-06,"[3.3582522202888636e-06, 5.893540840091025e-07, 5.148409462718213e-06, 2.091774826278742e-05]"
"value_norm__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.0004250038115018808,"[0.0011522619110276315, 5.4611194365888547e-05, 0.0002885356288552263, 0.00020460651175877674]"
"value_norm__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",5.638411398584373e-05,"[2.9261560874681626e-05, 9.051135411416439e-07, 0.0001803717600774714, 1.4998021450080242e-05]"
"value_norm__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",1.070366591798758e-05,"[2.5370884584892264e-06, 6.707819741053436e-07, 2.4039987191254715e-05, 1.5566806048101034e-05]"
"value_norm__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",8.700358728727677e-06,"[8.573009792984419e-06, 1.4397492004454982e-06, 1.0869332039140156e-05, 1.3919343882340635e-05]"
"value_norm__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.000782276419804846,[0.000782276419804846]
