feature,feature,type,p_value,relevant
"value__fft_coefficient__attr_""imag""__coeff_28","value__fft_coefficient__attr_""imag""__coeff_28",real,0.21907796228689735,False
"value__fft_coefficient__attr_""imag""__coeff_71","value__fft_coefficient__attr_""imag""__coeff_71",real,0.21907796228689735,False
"value__fft_coefficient__attr_""real""__coeff_36","value__fft_coefficient__attr_""real""__coeff_36",real,0.21907796228689735,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",real,0.21907796228689735,False
"value__fft_coefficient__attr_""angle""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_97",real,0.2207716849207313,False
"value__fft_coefficient__attr_""real""__coeff_81","value__fft_coefficient__attr_""real""__coeff_81",real,0.2220946628494388,False
"value__fft_coefficient__attr_""real""__coeff_43","value__fft_coefficient__attr_""real""__coeff_43",real,0.2220946628494388,False
value__partial_autocorrelation__lag_8,value__partial_autocorrelation__lag_8,real,0.2220946628494388,False
"value__fft_coefficient__attr_""real""__coeff_64","value__fft_coefficient__attr_""real""__coeff_64",real,0.2220946628494388,False
"value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""imag""__coeff_55",real,0.2220946628494388,False
"value__fft_coefficient__attr_""real""__coeff_60","value__fft_coefficient__attr_""real""__coeff_60",real,0.2220946628494388,False
"value__fft_coefficient__attr_""abs""__coeff_65","value__fft_coefficient__attr_""abs""__coeff_65",real,0.22514099804824328,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",real,0.22514099804824328,False
"value__fft_coefficient__attr_""imag""__coeff_59","value__fft_coefficient__attr_""imag""__coeff_59",real,0.22514099804824328,False
"value__fft_coefficient__attr_""abs""__coeff_91","value__fft_coefficient__attr_""abs""__coeff_91",real,0.2280216500609179,False
"value__fft_coefficient__attr_""imag""__coeff_63","value__fft_coefficient__attr_""imag""__coeff_63",real,0.22821706181108714,False
"value__fft_coefficient__attr_""real""__coeff_59","value__fft_coefficient__attr_""real""__coeff_59",real,0.22821706181108714,False
"value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""imag""__coeff_20",real,0.22821706181108714,False
"value__fft_coefficient__attr_""real""__coeff_80","value__fft_coefficient__attr_""real""__coeff_80",real,0.2313229451525619,False
"value__fft_coefficient__attr_""imag""__coeff_54","value__fft_coefficient__attr_""imag""__coeff_54",real,0.2313229451525619,False
value__mean_change,value__mean_change,real,0.2313229451525619,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",real,0.2313229451525619,False
"value__fft_coefficient__attr_""imag""__coeff_44","value__fft_coefficient__attr_""imag""__coeff_44",real,0.2313229451525619,False
"value__fft_coefficient__attr_""abs""__coeff_14","value__fft_coefficient__attr_""abs""__coeff_14",real,0.2313229451525619,False
"value__fft_coefficient__attr_""real""__coeff_75","value__fft_coefficient__attr_""real""__coeff_75",real,0.2313229451525619,False
"value__fft_coefficient__attr_""imag""__coeff_45","value__fft_coefficient__attr_""imag""__coeff_45",real,0.2313229451525619,False
"value__fft_coefficient__attr_""real""__coeff_41","value__fft_coefficient__attr_""real""__coeff_41",real,0.2313229451525619,False
"value__fft_coefficient__attr_""imag""__coeff_39","value__fft_coefficient__attr_""imag""__coeff_39",real,0.23445873612815038,False
"value__fft_coefficient__attr_""real""__coeff_74","value__fft_coefficient__attr_""real""__coeff_74",real,0.23445873612815038,False
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",real,0.23445873612815038,False
"value__fft_coefficient__attr_""imag""__coeff_92","value__fft_coefficient__attr_""imag""__coeff_92",real,0.23742743385395182,False
"value__fft_coefficient__attr_""imag""__coeff_34","value__fft_coefficient__attr_""imag""__coeff_34",real,0.23762451978862364,False
"value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",real,0.23762451978862364,False
"value__fft_coefficient__attr_""real""__coeff_51","value__fft_coefficient__attr_""real""__coeff_51",real,0.23762451978862364,False
"value__fft_coefficient__attr_""real""__coeff_55","value__fft_coefficient__attr_""real""__coeff_55",real,0.23762451978862364,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,0.23762451978862364,False
"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_22",real,0.23762451978862364,False
"value__fft_coefficient__attr_""imag""__coeff_49","value__fft_coefficient__attr_""imag""__coeff_49",real,0.23762451978862364,False
"value__fft_coefficient__attr_""real""__coeff_63","value__fft_coefficient__attr_""real""__coeff_63",real,0.24082037813477186,False
"value__fft_coefficient__attr_""real""__coeff_50","value__fft_coefficient__attr_""real""__coeff_50",real,0.24082037813477186,False
"value__fft_coefficient__attr_""imag""__coeff_53","value__fft_coefficient__attr_""imag""__coeff_53",real,0.24082037813477186,False
"value__fft_coefficient__attr_""imag""__coeff_46","value__fft_coefficient__attr_""imag""__coeff_46",real,0.24404639007248652,False
"value__fft_coefficient__attr_""real""__coeff_68","value__fft_coefficient__attr_""real""__coeff_68",real,0.24404639007248652,False
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",real,0.24404639007248652,False
"value__fft_coefficient__attr_""real""__coeff_62","value__fft_coefficient__attr_""real""__coeff_62",real,0.24404639007248652,False
"value__fft_coefficient__attr_""imag""__coeff_38","value__fft_coefficient__attr_""imag""__coeff_38",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_65","value__fft_coefficient__attr_""imag""__coeff_65",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_35","value__fft_coefficient__attr_""imag""__coeff_35",real,0.24730263136821617,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_40","value__fft_coefficient__attr_""imag""__coeff_40",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_41","value__fft_coefficient__attr_""imag""__coeff_41",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_24","value__fft_coefficient__attr_""imag""__coeff_24",real,0.24730263136821617,False
"value__fft_coefficient__attr_""imag""__coeff_19","value__fft_coefficient__attr_""imag""__coeff_19",real,0.250589174604808,False
"value__fft_coefficient__attr_""imag""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_51",real,0.250589174604808,False
"value__fft_coefficient__attr_""imag""__coeff_47","value__fft_coefficient__attr_""imag""__coeff_47",real,0.250589174604808,False
"value__fft_coefficient__attr_""real""__coeff_42","value__fft_coefficient__attr_""real""__coeff_42",real,0.250589174604808,False
"value__fft_coefficient__attr_""real""__coeff_65","value__fft_coefficient__attr_""real""__coeff_65",real,0.2539060891377557,False
"value__fft_coefficient__attr_""imag""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_31",real,0.2539060891377557,False
"value__fft_coefficient__attr_""imag""__coeff_60","value__fft_coefficient__attr_""imag""__coeff_60",real,0.2539060891377557,False
"value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_37",real,0.2539060891377557,False
"value__fft_coefficient__attr_""imag""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_43",real,0.2539060891377557,False
value__time_reversal_asymmetry_statistic__lag_3,value__time_reversal_asymmetry_statistic__lag_3,real,0.2539060891377557,False
"value__fft_coefficient__attr_""imag""__coeff_74","value__fft_coefficient__attr_""imag""__coeff_74",real,0.2539060891377557,False
"value__fft_coefficient__attr_""real""__coeff_53","value__fft_coefficient__attr_""real""__coeff_53",real,0.25725344105187475,False
"value__fft_coefficient__attr_""real""__coeff_66","value__fft_coefficient__attr_""real""__coeff_66",real,0.25725344105187475,False
"value__fft_coefficient__attr_""real""__coeff_32","value__fft_coefficient__attr_""real""__coeff_32",real,0.25725344105187475,False
"value__fft_coefficient__attr_""imag""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_56",real,0.25725344105187475,False
"value__fft_coefficient__attr_""real""__coeff_39","value__fft_coefficient__attr_""real""__coeff_39",real,0.25725344105187475,False
"value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""real""__coeff_72",real,0.25725344105187475,False
"value__fft_coefficient__attr_""imag""__coeff_14","value__fft_coefficient__attr_""imag""__coeff_14",real,0.2606312931184157,False
value__time_reversal_asymmetry_statistic__lag_2,value__time_reversal_asymmetry_statistic__lag_2,real,0.2606312931184157,False
"value__fft_coefficient__attr_""real""__coeff_23","value__fft_coefficient__attr_""real""__coeff_23",real,0.2606312931184157,False
"value__fft_coefficient__attr_""imag""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_97",real,0.2626724554703278,False
"value__fft_coefficient__attr_""real""__coeff_16","value__fft_coefficient__attr_""real""__coeff_16",real,0.2640397047526397,False
"value__fft_coefficient__attr_""imag""__coeff_69","value__fft_coefficient__attr_""imag""__coeff_69",real,0.2640397047526397,False
"value__fft_coefficient__attr_""real""__coeff_71","value__fft_coefficient__attr_""real""__coeff_71",real,0.2640397047526397,False
"value__fft_coefficient__attr_""angle""__coeff_73","value__fft_coefficient__attr_""angle""__coeff_73",real,0.2640397047526397,False
"value__fft_coefficient__attr_""imag""__coeff_67","value__fft_coefficient__attr_""imag""__coeff_67",real,0.2674787319718718,False
"value__fft_coefficient__attr_""real""__coeff_34","value__fft_coefficient__attr_""real""__coeff_34",real,0.2674787319718718,False
"value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""imag""__coeff_16",real,0.2674787319718718,False
"value__fft_coefficient__attr_""imag""__coeff_58","value__fft_coefficient__attr_""imag""__coeff_58",real,0.2674787319718718,False
"value__fft_coefficient__attr_""angle""__coeff_9","value__fft_coefficient__attr_""angle""__coeff_9",real,0.2674787319718718,False
"value__fft_coefficient__attr_""imag""__coeff_48","value__fft_coefficient__attr_""imag""__coeff_48",real,0.2674787319718718,False
"value__fft_coefficient__attr_""imag""__coeff_84","value__fft_coefficient__attr_""imag""__coeff_84",real,0.27094171962954394,False
"value__fft_coefficient__attr_""angle""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_19",real,0.27094842735404867,False
"value__fft_coefficient__attr_""angle""__coeff_24","value__fft_coefficient__attr_""angle""__coeff_24",real,0.27094842735404867,False
value__time_reversal_asymmetry_statistic__lag_1,value__time_reversal_asymmetry_statistic__lag_1,real,0.27094842735404867,False
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.27094842735404867,False
"value__fft_coefficient__attr_""imag""__coeff_79","value__fft_coefficient__attr_""imag""__coeff_79",real,0.27094842735404867,False
"value__fft_coefficient__attr_""real""__coeff_45","value__fft_coefficient__attr_""real""__coeff_45",real,0.27094842735404867,False
"value__fft_coefficient__attr_""imag""__coeff_68","value__fft_coefficient__attr_""imag""__coeff_68",real,0.27094842735404867,False
"value__fft_coefficient__attr_""abs""__coeff_92","value__fft_coefficient__attr_""abs""__coeff_92",real,0.2742472357563409,False
"value__fft_coefficient__attr_""real""__coeff_87","value__fft_coefficient__attr_""real""__coeff_87",real,0.2743547770435464,False
"value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""angle""__coeff_47",real,0.27444883999678116,False
"value__fft_coefficient__attr_""real""__coeff_82","value__fft_coefficient__attr_""real""__coeff_82",real,0.27444883999678116,False
"value__fft_coefficient__attr_""real""__coeff_29","value__fft_coefficient__attr_""real""__coeff_29",real,0.27798001547694773,False
"value__fft_coefficient__attr_""imag""__coeff_42","value__fft_coefficient__attr_""imag""__coeff_42",real,0.27798001547694773,False
"value__fft_coefficient__attr_""real""__coeff_77","value__fft_coefficient__attr_""real""__coeff_77",real,0.27798001547694773,False
"value__fft_coefficient__attr_""imag""__coeff_57","value__fft_coefficient__attr_""imag""__coeff_57",real,0.27798001547694773,False
"value__fft_coefficient__attr_""imag""__coeff_91","value__fft_coefficient__attr_""imag""__coeff_91",real,0.2813398629416931,False
"value__fft_coefficient__attr_""real""__coeff_76","value__fft_coefficient__attr_""real""__coeff_76",real,0.28154199581083583,False
"value__fft_coefficient__attr_""imag""__coeff_23","value__fft_coefficient__attr_""imag""__coeff_23",real,0.28154199581083583,False
value__lempel_ziv_complexity__bins_5,value__lempel_ziv_complexity__bins_5,real,0.28331770175938276,False
"value__fft_coefficient__attr_""imag""__coeff_72","value__fft_coefficient__attr_""imag""__coeff_72",real,0.2851348194148522,False
"value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_27",real,0.2851348194148522,False
"value__fft_coefficient__attr_""imag""__coeff_75","value__fft_coefficient__attr_""imag""__coeff_75",real,0.2851348194148522,False
"value__fft_coefficient__attr_""angle""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_30",real,0.2851348194148522,False
"value__fft_coefficient__attr_""imag""__coeff_70","value__fft_coefficient__attr_""imag""__coeff_70",real,0.2851348194148522,False
"value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""imag""__coeff_52",real,0.28875852106681443,False
"value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""imag""__coeff_32",real,0.28875852106681443,False
"value__fft_coefficient__attr_""real""__coeff_38","value__fft_coefficient__attr_""real""__coeff_38",real,0.292413131867847,False
value__lempel_ziv_complexity__bins_3,value__lempel_ziv_complexity__bins_3,real,0.29421148440415357,False
"value__agg_autocorrelation__f_agg_""mean""__maxlag_40","value__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,0.2960986792048951,False
"value__fft_coefficient__attr_""real""__coeff_61","value__fft_coefficient__attr_""real""__coeff_61",real,0.2960986792048951,False
"value__fft_coefficient__attr_""real""__coeff_57","value__fft_coefficient__attr_""real""__coeff_57",real,0.2960986792048951,False
"value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_25",real,0.2960986792048951,False
"value__fft_coefficient__attr_""imag""__coeff_66","value__fft_coefficient__attr_""imag""__coeff_66",real,0.2960986792048951,False
"value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""real""__coeff_84",real,0.2998084215990545,False
"value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",real,0.2998151867138754,False
"value__fft_coefficient__attr_""real""__coeff_25","value__fft_coefficient__attr_""real""__coeff_25",real,0.2998151867138754,False
"value__fft_coefficient__attr_""abs""__coeff_15","value__fft_coefficient__attr_""abs""__coeff_15",real,0.3035626742434815,False
"value__fft_coefficient__attr_""abs""__coeff_13","value__fft_coefficient__attr_""abs""__coeff_13",real,0.3035626742434815,False
"value__fft_coefficient__attr_""real""__coeff_40","value__fft_coefficient__attr_""real""__coeff_40",real,0.3035626742434815,False
"value__fft_coefficient__attr_""real""__coeff_96","value__fft_coefficient__attr_""real""__coeff_96",real,0.3063913703150287,False
"value__fft_coefficient__attr_""real""__coeff_89","value__fft_coefficient__attr_""real""__coeff_89",real,0.3071379388293326,False
"value__fft_coefficient__attr_""real""__coeff_78","value__fft_coefficient__attr_""real""__coeff_78",real,0.3073411578196583,False
"value__fft_coefficient__attr_""imag""__coeff_90","value__fft_coefficient__attr_""imag""__coeff_90",real,0.3109473756645721,False
"value__fft_coefficient__attr_""real""__coeff_52","value__fft_coefficient__attr_""real""__coeff_52",real,0.311150649610767,False
"value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""real""__coeff_7",real,0.311150649610767,False
"value__fft_coefficient__attr_""abs""__coeff_16","value__fft_coefficient__attr_""abs""__coeff_16",real,0.311150649610767,False
value__ar_coefficient__coeff_2__k_10,value__ar_coefficient__coeff_2__k_10,real,0.311150649610767,False
"value__fft_coefficient__attr_""angle""__coeff_94","value__fft_coefficient__attr_""angle""__coeff_94",real,0.31461830550764336,False
"value__fft_coefficient__attr_""angle""__coeff_88","value__fft_coefficient__attr_""angle""__coeff_88",real,0.31478785472094695,False
"value__fft_coefficient__attr_""real""__coeff_46","value__fft_coefficient__attr_""real""__coeff_46",real,0.31499115789345355,False
value__number_crossing_m__m_0,value__number_crossing_m__m_0,binary,0.3157894736842102,False
"value__fft_coefficient__attr_""imag""__coeff_73","value__fft_coefficient__attr_""imag""__coeff_73",real,0.3188626870192399,False
"value__fft_coefficient__attr_""imag""__coeff_62","value__fft_coefficient__attr_""imag""__coeff_62",real,0.3188626870192399,False
"value__fft_coefficient__attr_""real""__coeff_83","value__fft_coefficient__attr_""real""__coeff_83",real,0.3188626870192399,False
"value__fft_coefficient__attr_""imag""__coeff_88","value__fft_coefficient__attr_""imag""__coeff_88",real,0.32256195379799846,False
"value__fft_coefficient__attr_""real""__coeff_20","value__fft_coefficient__attr_""real""__coeff_20",real,0.32276523738185225,False
"value__fft_coefficient__attr_""imag""__coeff_64","value__fft_coefficient__attr_""imag""__coeff_64",real,0.32276523738185225,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,real,0.32669880538530616,False
"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""angle""__coeff_55",real,0.32669880538530616,False
"value__fft_coefficient__attr_""real""__coeff_94","value__fft_coefficient__attr_""real""__coeff_94",real,0.33029079208814904,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,real,0.3306633834127617,False
"value__fft_coefficient__attr_""real""__coeff_35","value__fft_coefficient__attr_""real""__coeff_35",real,0.33465895979616567,False
"value__fft_coefficient__attr_""imag""__coeff_61","value__fft_coefficient__attr_""imag""__coeff_61",real,0.33465895979616567,False
"value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_46",real,0.33465895979616567,False
"value__fft_coefficient__attr_""angle""__coeff_78","value__fft_coefficient__attr_""angle""__coeff_78",real,0.33465895979616567,False
"value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""real""__coeff_56",real,0.33465895979616567,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",real,0.33465895979616567,False
"value__fft_coefficient__attr_""real""__coeff_88","value__fft_coefficient__attr_""real""__coeff_88",real,0.33848259223035304,False
"value__fft_coefficient__attr_""angle""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_92",real,0.33848259223035304,False
"value__fft_coefficient__attr_""angle""__coeff_50","value__fft_coefficient__attr_""angle""__coeff_50",real,0.3386855187866994,False
"value__fft_coefficient__attr_""real""__coeff_98","value__fft_coefficient__attr_""real""__coeff_98",real,0.34080947544769,False
"value__fft_coefficient__attr_""abs""__coeff_89","value__fft_coefficient__attr_""abs""__coeff_89",real,0.3425402705685584,False
"value__fft_coefficient__attr_""imag""__coeff_12","value__fft_coefficient__attr_""imag""__coeff_12",real,0.3427430405260441,False
"value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""imag""__coeff_10",real,0.3427430405260441,False
"value__fft_coefficient__attr_""angle""__coeff_52","value__fft_coefficient__attr_""angle""__coeff_52",real,0.3468315010184806,False
"value__fft_coefficient__attr_""abs""__coeff_3","value__fft_coefficient__attr_""abs""__coeff_3",real,0.3468315010184806,False
"value__fft_coefficient__attr_""angle""__coeff_18","value__fft_coefficient__attr_""angle""__coeff_18",real,0.3468315010184806,False
"value__fft_coefficient__attr_""real""__coeff_19","value__fft_coefficient__attr_""real""__coeff_19",real,0.3468315010184806,False
"value__fft_coefficient__attr_""angle""__coeff_40","value__fft_coefficient__attr_""angle""__coeff_40",real,0.3509508721038418,False
"value__fft_coefficient__attr_""real""__coeff_95","value__fft_coefficient__attr_""real""__coeff_95",real,0.3544874142701794,False
value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,real,0.3592822124342063,False
"value__fft_coefficient__attr_""angle""__coeff_39","value__fft_coefficient__attr_""angle""__coeff_39",real,0.3592822124342063,False
value__index_mass_quantile__q_0.1,value__index_mass_quantile__q_0.1,real,0.3613792700903704,False
"value__fft_coefficient__attr_""angle""__coeff_87","value__fft_coefficient__attr_""angle""__coeff_87",real,0.36764285774833527,False
"value__fft_coefficient__attr_""real""__coeff_27","value__fft_coefficient__attr_""real""__coeff_27",real,0.3677367519739926,False
"value__fft_coefficient__attr_""real""__coeff_26","value__fft_coefficient__attr_""real""__coeff_26",real,0.3677367519739926,False
"value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",real,0.3677367519739926,False
"value__fft_coefficient__attr_""imag""__coeff_77","value__fft_coefficient__attr_""imag""__coeff_77",real,0.3677367519739926,False
value__number_cwt_peaks__n_1,value__number_cwt_peaks__n_1,real,0.3690187683367607,False
"value__fft_coefficient__attr_""real""__coeff_93","value__fft_coefficient__attr_""real""__coeff_93",real,0.37164164704025626,False
"value__fft_coefficient__attr_""imag""__coeff_86","value__fft_coefficient__attr_""imag""__coeff_86",real,0.3719163758160101,False
"value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""real""__coeff_86",real,0.3719163758160101,False
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,0.37201010608265594,False
"value__fft_coefficient__attr_""angle""__coeff_59","value__fft_coefficient__attr_""angle""__coeff_59",real,0.37201010608265594,False
value__lempel_ziv_complexity__bins_10,value__lempel_ziv_complexity__bins_10,real,0.37413989042679074,False
"value__fft_coefficient__attr_""imag""__coeff_93","value__fft_coefficient__attr_""imag""__coeff_93",real,0.3759463489916194,False
"value__fft_coefficient__attr_""real""__coeff_30","value__fft_coefficient__attr_""real""__coeff_30",real,0.3763141129660127,False
"value__fft_coefficient__attr_""imag""__coeff_76","value__fft_coefficient__attr_""imag""__coeff_76",real,0.3763141129660127,False
"value__fft_coefficient__attr_""angle""__coeff_90","value__fft_coefficient__attr_""angle""__coeff_90",real,0.3804486019555593,False
"value__fft_coefficient__attr_""angle""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_14",real,0.38064871462995364,False
value__binned_entropy__max_bins_10,value__binned_entropy__max_bins_10,real,0.38064871462995364,False
value__ar_coefficient__coeff_5__k_10,value__ar_coefficient__coeff_5__k_10,real,0.38064871462995364,False
value__lempel_ziv_complexity__bins_100,value__lempel_ziv_complexity__bins_100,real,0.3850088591252907,False
"value__fft_coefficient__attr_""real""__coeff_17","value__fft_coefficient__attr_""real""__coeff_17",real,0.38501384873192046,False
"value__fft_coefficient__attr_""imag""__coeff_78","value__fft_coefficient__attr_""imag""__coeff_78",real,0.38501384873192046,False
"value__fft_coefficient__attr_""imag""__coeff_82","value__fft_coefficient__attr_""imag""__coeff_82",real,0.3894094485621661,False
"value__fft_coefficient__attr_""real""__coeff_22","value__fft_coefficient__attr_""real""__coeff_22",real,0.3894094485621661,False
"value__fft_coefficient__attr_""real""__coeff_99","value__fft_coefficient__attr_""real""__coeff_99",real,0.39193994130534615,False
"value__fft_coefficient__attr_""imag""__coeff_87","value__fft_coefficient__attr_""imag""__coeff_87",real,0.3937427322887491,False
"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",real,0.39383544302600804,False
"value__fft_coefficient__attr_""angle""__coeff_76","value__fft_coefficient__attr_""angle""__coeff_76",real,0.3982917566270847,False
"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",real,0.3982917566270847,False
"value__fft_coefficient__attr_""real""__coeff_92","value__fft_coefficient__attr_""real""__coeff_92",real,0.40258066842552986,False
"value__fft_coefficient__attr_""real""__coeff_31","value__fft_coefficient__attr_""real""__coeff_31",real,0.4027783094516296,False
value__sample_entropy,value__sample_entropy,real,0.4027783094516296,False
"value__fft_coefficient__attr_""real""__coeff_13","value__fft_coefficient__attr_""real""__coeff_13",real,0.4072950171537735,False
value__autocorrelation__lag_0,value__autocorrelation__lag_0,real,0.40878022199893427,False
value__friedrich_coefficients__coeff_3__m_3__r_30,value__friedrich_coefficients__coeff_3__m_3__r_30,real,0.4118417909418871,False
"value__fft_coefficient__attr_""abs""__coeff_93","value__fft_coefficient__attr_""abs""__coeff_93",real,0.41605940714029177,False
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,0.4164185375659766,False
"value__fft_coefficient__attr_""imag""__coeff_81","value__fft_coefficient__attr_""imag""__coeff_81",real,0.4164185375659766,False
value__lempel_ziv_complexity__bins_2,value__lempel_ziv_complexity__bins_2,real,0.4255838007266296,False
"value__fft_coefficient__attr_""real""__coeff_6","value__fft_coefficient__attr_""real""__coeff_6",real,0.4256615539621038,False
"value__fft_coefficient__attr_""imag""__coeff_80","value__fft_coefficient__attr_""imag""__coeff_80",real,0.4256615539621038,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",real,0.4256615539621038,False
"value__fft_coefficient__attr_""real""__coeff_90","value__fft_coefficient__attr_""real""__coeff_90",real,0.4395561183242417,False
"value__fft_coefficient__attr_""real""__coeff_3","value__fft_coefficient__attr_""real""__coeff_3",real,0.43974828602698657,False
"value__fft_coefficient__attr_""angle""__coeff_22","value__fft_coefficient__attr_""angle""__coeff_22",real,0.43974828602698657,False
"value__fft_coefficient__attr_""angle""__coeff_56","value__fft_coefficient__attr_""angle""__coeff_56",real,0.4445026604304677,False
"value__fft_coefficient__attr_""real""__coeff_21","value__fft_coefficient__attr_""real""__coeff_21",real,0.4445026604304677,False
"value__fft_coefficient__attr_""angle""__coeff_16","value__fft_coefficient__attr_""angle""__coeff_16",real,0.4492862292527845,False
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",real,0.45409886325296855,False
"value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",real,0.45409886325296855,False
"value__fft_coefficient__attr_""real""__coeff_85","value__fft_coefficient__attr_""real""__coeff_85",real,0.45890898849454864,False
"value__fft_coefficient__attr_""real""__coeff_91","value__fft_coefficient__attr_""real""__coeff_91",real,0.4685229748753964,False
"value__linear_trend__attr_""pvalue""","value__linear_trend__attr_""pvalue""",real,0.4687097960616019,False
"value__fft_coefficient__attr_""real""__coeff_14","value__fft_coefficient__attr_""real""__coeff_14",real,0.4687097960616019,False
"value__fft_coefficient__attr_""angle""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_6",real,0.4687097960616019,False
