feature,feature,type,p_value,relevant
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",real,5.008167571033554e-05,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,5.182529886828378e-05,True
"value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",real,5.3626347189484686e-05,True
"value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",real,5.3626347189484686e-05,True
"value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",real,5.740785790254637e-05,True
"value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",real,5.9392017210306093e-05,True
"value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",real,5.9392017210306093e-05,True
value__permutation_entropy__dimension_7__tau_1,value__permutation_entropy__dimension_7__tau_1,real,6.143735158764474e-05,True
value__quantile__q_0.1,value__quantile__q_0.1,real,6.144099814814908e-05,True
"value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",real,6.355678277997063e-05,True
"value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",real,6.355678277997063e-05,True
"value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",real,7.03256268191269e-05,True
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",real,7.521112842219979e-05,True
value__number_peaks__n_3,value__number_peaks__n_3,real,7.791480535116416e-05,True
value__permutation_entropy__dimension_6__tau_1,value__permutation_entropy__dimension_6__tau_1,real,0.00010834014541562901,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,0.00010834616720127494,True
value__permutation_entropy__dimension_4__tau_1,value__permutation_entropy__dimension_4__tau_1,real,0.00011195475195577013,True
"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",real,0.00011196095025593155,True
"value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",real,0.00011568928305594057,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,0.00011568928305594057,True
value__permutation_entropy__dimension_5__tau_1,value__permutation_entropy__dimension_5__tau_1,real,0.00012349321162823617,True
value__quantile__q_0.9,value__quantile__q_0.9,real,0.00012758923036237547,True
value__permutation_entropy__dimension_3__tau_1,value__permutation_entropy__dimension_3__tau_1,real,0.00014524959560398388,True
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",real,0.00014525738638612726,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,0.00015002138832717423,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,0.00015002138832717423,True
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,0.0001599940394594467,True
"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",real,0.00018183941774144643,True
"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",real,0.00018772325254045325,True
value__maximum,value__maximum,real,0.0001937856928626348,True
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,0.0001937856928626348,True
