Feature,Mean P Value,P Values
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.000973555290598319,"[0.0015640406199310844, 0.0017214241735696064, 0.00021054732391872098, 0.00039820904497386465]"
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",1.3490348211269127e-08,"[7.772781795784012e-09, 8.582132650381372e-09, 1.8894775463339022e-08, 3.1658642591296486e-08, 7.772781795784012e-09, 3.474917142456941e-10, 4.1314550012193317e-10, 3.338523549651362e-08, 1.3088558610384886e-08, 1.2987936494840224e-08]"
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",7.698597769993352e-09,"[6.362958658045673e-09, 5.3254038181530115e-09, 9.633257851246035e-09, 2.106191478588663e-08, 9.48452761608789e-09, 3.1477818686460655e-10, 5.577316697768161e-10, 1.6077830479197603e-08, 3.1784612417586968e-09, 4.98911339291656e-09]"
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",5.038068267487939e-06,"[1.250875847891082e-07, 3.2917326105031046e-06, 1.4706594891375597e-06, 6.191854241185789e-06, 7.49409470270888e-06, 5.1419195341722874e-08, 7.837570366640831e-08, 1.1864507824292337e-05, 1.3586058075337394e-06, 1.8454345515720737e-05]"
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",2.775391475921507e-08,"[1.4075383596166078e-08, 3.459849080002309e-08, 7.662722865631793e-08, 1.9007110699364325e-08, 1.2757873928104873e-08, 6.897904561497957e-10, 1.354431429904489e-09, 7.548834686020428e-08, 6.807803482707294e-09, 3.613268768320849e-08]"
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",3.257376413166064e-08,"[1.7118503819424523e-08, 3.78926138345335e-08, 9.194141610000084e-08, 1.9007110699364325e-08, 1.4075383596166078e-08, 7.600731643819108e-10, 1.8126900401968901e-09, 9.227277271218341e-08, 7.47961737677032e-09, 4.337745997358457e-08]"
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",4.0085986662369496e-08,"[2.0796667265372773e-08, 5.438282963942825e-08, 1.3194607515265349e-07, 1.9007110699364325e-08, 1.4075383596166078e-08, 7.600731643819108e-10, 2.1987710090706225e-09, 1.0196764080799956e-07, 8.215725713068478e-09, 4.7509589576189455e-08]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",2.8296354744614198e-09,"[1.5199843322035753e-09, 4.4606595815783903e-10, 1.3088570156873292e-09, 1.2567704653012151e-08, 1.5199843322035753e-09, 6.258623083575867e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 1.958982734800818e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",2.8296354744614198e-09,"[1.5199843322035753e-09, 4.4606595815783903e-10, 1.3088570156873292e-09, 1.2567704653012151e-08, 1.5199843322035753e-09, 6.258623083575867e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 1.958982734800818e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",2.916352024739049e-09,"[1.5199843322035753e-09, 4.940630034755131e-10, 1.3088570156873292e-09, 1.2567704653012151e-08, 1.5199843322035753e-09, 6.258623083575867e-10, 4.1314550012193317e-10, 7.622310505281462e-09, 1.958982734800818e-09, 1.132625862246542e-09]"
