Feature,Mean P Value,P Values
"value_norm__fft_coefficient__attr_""angle""__coeff_5",9.056002424229409e-05,"[0.00010325833530823531, 3.398634126275551e-05, 0.00029430278917262674, 5.9375222131232895e-05, 3.2386122660571955e-07, 5.211359635230827e-05]"
"value_norm__fft_coefficient__attr_""angle""__coeff_6",5.1168542271339074e-05,[5.1168542271339074e-05]
"value_norm__fft_coefficient__attr_""angle""__coeff_7",7.651893530222489e-05,"[0.00015194671964577174, 1.091150958678044e-06]"
"value_norm__fft_coefficient__attr_""angle""__coeff_8",0.00023863409354423707,[0.00023863409354423707]
"value_norm__fft_coefficient__attr_""angle""__coeff_9",4.8258884763986214e-05,"[0.00010325833530823531, 0.00012858164575120363, 6.391952447901665e-09, 1.4774412930686729e-05, 4.1595798767027115e-05, 1.3367238743165394e-06]"
"value_norm__fft_coefficient__attr_""imag""__coeff_1",0.0006465357046046606,"[0.0007065372386124934, 0.0005865341705968279]"
"value_norm__fft_coefficient__attr_""imag""__coeff_11",1.9623020868816984e-05,"[4.886512522063309e-06, 3.435952921557066e-05]"
"value_norm__fft_coefficient__attr_""imag""__coeff_12",3.1385238343680606e-05,"[2.3527451206065854e-05, 3.9243025481295354e-05]"
"value_norm__fft_coefficient__attr_""imag""__coeff_13",0.0005865341705968279,[0.0005865341705968279]
"value_norm__fft_coefficient__attr_""imag""__coeff_2",2.4623471059274647e-05,"[7.5854005498738115e-06, 5.026628811200635e-05, 8.61486405372711e-06, 3.202733152149131e-05]"
"value_norm__fft_coefficient__attr_""imag""__coeff_3",1.963995775582462e-05,"[4.782391152239261e-05, 1.3221826964121405e-05, 1.4774412930686729e-05, 2.7396796060977376e-06]"
"value_norm__fft_coefficient__attr_""imag""__coeff_4",1.7842807397952074e-05,"[5.8826608309813934e-05, 3.5358271079886986e-07, 7.172408204855363e-06, 4.083484540272459e-07, 2.245308931026497e-05]"
"value_norm__fft_coefficient__attr_""imag""__coeff_5",0.00017441574242071803,"[2.505901508206294e-05, 0.0003237724697593731]"
"value_norm__fft_coefficient__attr_""imag""__coeff_6",1.943461162693192e-05,[1.943461162693192e-05]
"value_norm__fft_coefficient__attr_""imag""__coeff_7",1.8864610136016245e-08,[1.8864610136016245e-08]
"value_norm__fft_coefficient__attr_""imag""__coeff_9",0.00013818656060780906,"[1.8965232999624647e-07, 1.2087424433025548e-05, 0.00027178417265221225, 0.00026868499301600215]"
"value_norm__fft_coefficient__attr_""real""__coeff_1",0.00018687506262038222,"[8.712633108450061e-05, 0.0004199194929072405, 0.0001508866180397158, 8.956780845007185e-05]"
"value_norm__fft_coefficient__attr_""real""__coeff_10",4.097510281465431e-05,"[8.730628505663302e-08, 8.61486405372711e-06, 0.00013575246638878672, 1.944577453104678e-05]"
"value_norm__fft_coefficient__attr_""real""__coeff_11",7.544510772289845e-05,[7.544510772289845e-05]
"value_norm__fft_coefficient__attr_""real""__coeff_13",8.425255715290153e-05,"[0.00016087468897545373, 7.630425330349323e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_17",0.00018733351008486132,"[1.193526401487861e-07, 0.000555569733084842, 6.311444529593153e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_2",6.81673443111641e-05,"[3.3152062332973264e-06, 0.00020458233853968378, 0.00010134051483525947, 5.698852883826302e-06, 2.589980906375365e-05]"
"value_norm__fft_coefficient__attr_""real""__coeff_21",0.00030433182971295917,[0.00030433182971295917]
"value_norm__fft_coefficient__attr_""real""__coeff_3",2.626824036933104e-05,"[8.058431762589747e-05, 1.928365466998473e-06, 2.3901172088075574e-05, 8.094117540370326e-07, 2.4117934911646655e-05]"
"value_norm__fft_coefficient__attr_""real""__coeff_4",0.00017262436377710053,"[0.0006669417762198948, 3.719766628817386e-06, 1.68725374169446e-05, 2.963374842745298e-06]"
"value_norm__fft_coefficient__attr_""real""__coeff_5",4.0293920706713725e-05,"[0.00012408231931215, 7.589978809568854e-08, 3.4247243890656695e-06, 6.455587839684703e-07, 7.324110126028881e-05]"
"value_norm__fft_coefficient__attr_""real""__coeff_8",1.0950113674666533e-05,"[1.3006389188650348e-06, 5.139131507815324e-07, 3.103578895435303e-05]"
value_norm__first_location_of_maximum,3.141369879309017e-06,"[3.3955298153603026e-06, 2.8872099432577316e-06]"
value_norm__first_location_of_minimum,6.20294371675955e-05,"[8.568563150934834e-06, 0.00011549031118425616]"
value_norm__fourier_entropy__bins_100,4.326463054635153e-05,"[6.384178431884452e-10, 0.0001240214595777796, 5.771793643431789e-06]"
value_norm__fourier_entropy__bins_3,0.00013914943343015017,"[3.391391176716543e-07, 1.3312052236450168e-05, 0.0004037971089363287]"
value_norm__fourier_entropy__bins_5,0.0002989108948957284,"[0.0003000574076965361, 0.00038814268062226836, 0.00020853259636838077]"
value_norm__index_mass_quantile__q_0.1,4.011240852968231e-05,"[7.283217820154245e-05, 5.9643069353371466e-05, 1.6056955527036706e-05, 1.1917431036778637e-05]"
value_norm__index_mass_quantile__q_0.2,7.069572289406825e-05,"[9.319581561837791e-05, 9.650626435048165e-06, 0.00022244276508750347, 1.034852053616538e-05, 1.7840886793246337e-05]"
value_norm__index_mass_quantile__q_0.3,3.066436061017055e-05,"[7.266776582144553e-05, 2.477961636177684e-06, 5.4966676342458834e-05, 1.84014358912076e-06, 2.1369255661649947e-05]"
value_norm__index_mass_quantile__q_0.4,3.157629877773968e-05,"[8.506526851537739e-05, 1.904467690922319e-06, 3.798243785233794e-05, 1.1945332987336233e-06, 3.173478653132717e-05]"
value_norm__kurtosis,0.00018668528573498327,"[4.1746406252003436e-05, 0.0003316241652179631]"
value_norm__last_location_of_maximum,3.141369879309017e-06,"[3.3955298153603026e-06, 2.8872099432577316e-06]"
value_norm__last_location_of_minimum,4.411742117420171e-05,"[7.111476187518916e-06, 8.112336616088449e-05]"
value_norm__lempel_ziv_complexity__bins_100,0.0004135148632740743,[0.0004135148632740743]
value_norm__longest_strike_below_mean,2.2400549613882057e-05,"[5.6510788330750755e-05, 8.249526454493935e-07, 1.0514601553262465e-05, 5.664009462034931e-07, 4.358600459374419e-05]"
value_norm__maximum,5.177724893970126e-06,"[6.070041586751999e-06, 4.285408201188254e-06]"
value_norm__number_cwt_peaks__n_1,0.0001729752357590726,[0.0001729752357590726]
value_norm__number_cwt_peaks__n_5,6.461454998883192e-05,"[3.578854825041651e-05, 9.344055172724732e-05]"
value_norm__number_peaks__n_1,0.00016527339693231716,"[2.5930256834419767e-05, 0.0003970844642182993, 7.280546974423248e-05]"
value_norm__number_peaks__n_10,0.000144224487535068,[0.000144224487535068]
value_norm__number_peaks__n_3,0.00016468284542060964,"[0.00017595680382103028, 0.0002974585437906764, 0.0002073645219403733, 3.166552989079126e-05, 0.000110968827660177]"
value_norm__number_peaks__n_5,0.0002498632158222785,"[0.00017289819859118933, 0.0005709253798159206, 5.766069059725626e-06]"
