feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value_norm__longest_strike_above_mean,156.0,202.51282051282053,18.378278616252633,138.0,191.0,203.5,213.25,263.0,30.0,196.0,14.631095841297785,174.0,186.0,195.5,209.75,223.0,65.0,196.2153846153846,16.829561331638587,138.0,189.0,198.0,207.0,223.0,61.0,212.4262295081967,17.40350445206697,175.0,200.0,212.0,221.0,263.0,,17.717834542674307,1.1992679611696624e-07,0.9,0.001,0.001,5.228375104079102,0.07322725787121272,1.1359531347819225,0.5666708998042986
value_norm__count_above_mean,156.0,202.57051282051282,18.305335791648183,138.0,191.0,203.5,213.25,263.0,30.0,196.0,14.631095841297785,174.0,186.0,195.5,209.75,223.0,65.0,196.2153846153846,16.829561331638587,138.0,189.0,198.0,207.0,223.0,61.0,212.5737704918033,17.116716017189596,178.0,200.0,212.0,221.0,263.0,,18.296091807854204,7.509857093991755e-08,0.9,0.001,0.001,4.721567170043114,0.09434626590337132,0.9783811852483774,0.61312245923876
value_norm__count_below_mean,156.0,297.4294871794872,18.305335791648183,237.0,286.75,296.5,309.0,362.0,30.0,304.0,14.631095841297785,277.0,290.25,304.5,314.0,326.0,65.0,303.7846153846154,16.829561331638587,277.0,293.0,302.0,311.0,362.0,61.0,287.42622950819674,17.116716017189592,237.0,279.0,288.0,300.0,322.0,,18.296091807854786,7.50985709398812e-08,0.9,0.001,0.001,4.721567170042934,0.09434626590337979,0.9783811852483774,0.61312245923876
value_norm__last_location_of_maximum,156.0,0.48617948717948706,0.03255833220336005,0.392,0.482,0.492,0.498,0.624,30.0,0.49093333333333333,0.03152988000822924,0.416,0.4845,0.492,0.4995,0.602,65.0,0.486153846153846,0.03632717249578424,0.392,0.48,0.492,0.498,0.624,61.0,0.48386885245901634,0.028871829066777235,0.392,0.482,0.49,0.498,0.54,Non-normal residuals! ,0.4701846375825475,0.6257867596088539,0.7655,0.5901,0.9,65.3994194254576,6.2906643312232846e-15,3.278152785453001,0.1941592864317196
value_norm__first_location_of_maximum,156.0,0.48417948717948706,0.03255833220336004,0.39,0.48,0.49,0.496,0.622,30.0,0.4889333333333333,0.03152988000822923,0.414,0.4825,0.49,0.4975,0.6,65.0,0.48415384615384605,0.03632717249578422,0.39,0.478,0.49,0.496,0.622,61.0,0.48186885245901634,0.02887182906677722,0.39,0.48,0.488,0.496,0.538,Non-normal residuals! ,0.47018463758254553,0.6257867596088539,0.7655,0.5901,0.9,65.39941942545781,6.2906643312226164e-15,3.278152785453226,0.1941592864316977
value_norm__last_location_of_minimum,156.0,0.649384615384616,0.33844956667299997,0.002,0.709,0.79,0.852,1.0,30.0,0.708,0.3205387705852069,0.002,0.7765,0.8180000000000001,0.8734999999999999,1.0,65.0,0.6130153846153847,0.36963666672100504,0.002,0.0639999999999999,0.792,0.866,1.0,61.0,0.6593114754098361,0.31187302656602667,0.002,0.718,0.786,0.8260000000000001,1.0,Non-normal residuals! ,0.8497860958421896,0.42951401186686866,0.4158,0.776,0.7062,41.4472904418878,9.996206879595186e-10,1.9615693959955558,0.3750167085024517
value_norm__first_location_of_minimum,156.0,0.6472564102564103,0.3383165319121948,0.0,0.707,0.788,0.85,0.996,30.0,0.7057333333333333,0.3202889787130639,0.0,0.7745,0.8160000000000001,0.8714999999999999,0.994,65.0,0.6109230769230769,0.3695389148863549,0.0,0.062,0.79,0.864,0.996,61.0,0.6572131147540985,0.31176428674850376,0.0,0.716,0.784,0.824,0.996,Non-normal residuals! ,0.8477296032444636,0.4303885007938063,0.4169,0.7771,0.7061,41.54285696292221,9.52978777701321e-10,1.9662054820615615,0.37414841039903624
value_norm__percentage_of_reoccurring_values_to_all_values,156.0,0.002007464729276873,1.4779043728696606e-06,0.002004008016032,0.002008032128514,0.002008032128514,0.002008032128514,0.0020120724346076,30.0,0.002006824894769399,1.8756050241056454e-06,0.002004008016032,0.002004008016032,0.002008032128514,0.002008032128514,0.002008032128514,65.0,0.0020074749437087986,1.4006793131237032e-06,0.002004008016032,0.002008032128514,0.002008032128514,0.002008032128514,0.002008032128514,61.0,0.0020077685177547133,1.2453416605618068e-06,0.002004008016032,0.002008032128514,0.002008032128514,0.002008032128514,0.0020120724346076,Non-normal residuals! Heteroscedastic samples! ,4.2750527912613006,0.015609540682567313,0.1075,0.0111,0.4938,87.49907015987088,9.995817744321314e-20,7.188664647084107,0.02747902414992875
value_norm__percentage_of_reoccurring_datapoints_to_all_datapoints,156.0,0.005717948717948723,0.0007343627634357046,0.004,0.006,0.006,0.006,0.008,30.0,0.005400000000000003,0.0009321831993987981,0.004,0.004,0.006,0.006,0.006,65.0,0.005723076923076926,0.000696143221338386,0.004,0.006,0.006,0.006,0.006,61.0,0.005868852459016397,0.0006184768881714063,0.004,0.006,0.006,0.006,0.008,Non-normal residuals! Heteroscedastic samples! ,4.274560839009298,0.015616815125823892,0.1074,0.0111,0.4943,87.62975716326294,9.363538634171175e-20,7.211806153557682,0.027162903545958718
value_norm__sum_of_reoccurring_values,156.0,-0.8587285852979871,0.17551037891051416,-1.8279508225471093,-0.9593899579421296,-0.8667415018588052,-0.7592516717060795,-0.4039784489379476,30.0,-0.8500682385021832,0.2504202036435926,-1.8279508225471093,-0.9310449432109105,-0.8458373994909961,-0.7089053061315327,-0.4163625415477497,65.0,-0.8174037938720113,0.16795875910218985,-1.17162480430181,-0.9345702139430632,-0.8291544381108896,-0.7230497954563769,-0.4039784489379476,61.0,-0.9070223860613066,0.12213607761475052,-1.1830249655396,-0.9774991733454388,-0.9176605207559853,-0.829409831854154,-0.5077859385435098,Non-normal residuals! Heteroscedastic samples! ,4.325546783221197,0.014880857771157769,0.6522,0.3009,0.011,262.6478964719407,9.262621960715414e-58,21.873322131113742,1.779378950863142e-05
value_norm__sum_of_reoccurring_data_points,156.0,-2.476400239986366,0.6570189358850383,-5.483852467641329,-2.859577268831262,-2.562803274689089,-2.1688984355112426,-0.8079568978758952,30.0,-2.34292227311544,0.9242964912213208,-5.483852467641329,-2.793134829632731,-2.5375121984729883,-1.595042195234222,-0.8327250830954995,65.0,-2.353351313607322,0.5879530848241651,-3.51487441290543,-2.721921342593494,-2.423310549498668,-2.105463799426758,-0.8079568978758952,61.0,-2.673162850162848,0.5184860167707176,-4.624755877566683,-2.9290204723556563,-2.749551381279169,-2.476497801177101,-1.231377653007884,Non-normal residuals! Heteroscedastic samples! ,4.709620720025654,0.010354458765703765,0.9,0.0578,0.016,78.5178594775724,8.91381156522196e-18,15.526302425229396,0.00042511484049359116
value_norm__ratio_value_number_to_time_series_length,156.0,0.9962820512820514,0.0007343627634357064,0.994,0.996,0.996,0.996,0.998,30.0,0.9965999999999998,0.0009321831993987989,0.996,0.996,0.996,0.998,0.998,65.0,0.9962769230769241,0.000696143221338386,0.996,0.996,0.996,0.996,0.998,61.0,0.9961311475409843,0.0006184768881714072,0.994,0.996,0.996,0.996,0.998,Non-normal residuals! Heteroscedastic samples! ,4.2745608390193945,0.01561681512567446,0.1074,0.0111,0.4943,87.6297571632264,9.363538634342208e-20,7.211806153557682,0.027162903545958718
value_norm__sample_entropy,156.0,0.027441366857560243,0.004081018810379877,0.019825240556741,0.024176461640621177,0.0272525083824093,0.030416698849987024,0.037693933958389,30.0,0.02963960528247719,0.003723592460767106,0.0244399424286121,0.0262782431028354,0.029713270540026752,0.031053004508125398,0.037693933958389,65.0,0.026746828950513196,0.003634881309315783,0.019825240556741,0.0239871582475085,0.0265029072671306,0.0294502984971485,0.0349007037860674,61.0,0.02710034736920861,0.004378706213806686,0.020447963712345,0.0231229960825312,0.0275774809847144,0.0303832251034299,0.0370433321743937,,5.8511169892841774,0.0035594548021660403,0.0033,0.0127,0.8581,5.41126487932797,0.06682804577202456,2.3728625212391923,0.30530889004464
value_norm__maximum,156.0,1.6763550373654772,0.15095311838957842,1.2297355235292633,1.5896609215350561,1.6593800535617653,1.7711735848930124,2.2369779081753585,30.0,1.7111005146200087,0.1266605858032148,1.4388564284099474,1.6323048366386959,1.7061975795534843,1.8011900754000434,2.016562446058245,65.0,1.7154992200588128,0.15357385654688527,1.4636993518475558,1.6004009241101431,1.6875088344597202,1.803135196058766,2.2369779081753585,61.0,1.6175560833867435,0.1420428324208897,1.2297355235292633,1.5684509131351276,1.6236967239639295,1.7137696303392531,1.8938285676893092,,8.326946047486496,0.0003691999729697001,0.9,0.0116,0.001,4.674896827429805,0.09657374035295545,1.4385459135794794,0.4871062745605619
value_norm__minimum,156.0,-1.1165010240337434,0.12920101931282377,-1.8279508225471093,-1.1834471529291155,-1.0987699778534776,-1.0249760446966873,-0.8973306279602408,30.0,-1.1575034022925652,0.1682210748209818,-1.8279508225471093,-1.2463973714527143,-1.107349220238024,-1.0511823146568813,-1.0002988616785495,65.0,-1.1034221320393562,0.11619596376918477,-1.5386012584373738,-1.1652540161056764,-1.0777305845942973,-1.0214704348776873,-0.91731490055341,61.0,-1.1102724442283423,0.1182322035382811,-1.3809303237241513,-1.1919784707632306,-1.100441215373025,-1.0372297130673425,-0.8973306279602408,Non-normal residuals! Heteroscedastic samples! ,1.9377864977030717,0.14754078394222747,0.1399,0.2286,0.9,157.0057299356752,8.065641800949562e-35,7.0085921783989615,0.03006793103814188
