feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,anova_notes,f-oneway_stat,f-oneway_pvalue,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue,jarque-bera_stat,jarque-bera_pvalue,bartlett_stat,bartlett_pvalue
value__mean,156.0,0.06103252317220775,2.1038580913828575,-4.934751321187005,-1.2745421655285032,0.18862176503418476,1.2237775396454365,5.404690650039528,30.0,0.034719627490851744,1.3200698219003537,-3.721185159015103,-0.3800528542564222,0.37628221313180604,0.7352217775910639,2.274921438546229,65.0,-0.05876301060904515,1.9109405852783776,-4.53815316058165,-1.4598315826816228,0.2028795930086148,1.1908816673577045,5.404690650039528,61.0,0.20162427015945564,2.5808953728368116,-4.934751321187005,-1.574987702109459,0.0806795891075342,2.402930494183184,5.098478852807095,Heteroscedastic samples! ,0.24153573921521895,0.7857196450145505,0.9,0.9,0.7495,0.39560810244625855,0.8205306193575926,16.162644405781872,0.00030926185804771894
value__length,156.0,217.55769230769232,33.20673083434613,152.0,194.0,214.5,235.0,320.0,30.0,228.56666666666666,29.442736160956205,181.0,203.0,231.0,251.5,277.0,65.0,220.27692307692308,36.727675060975685,167.0,199.0,215.0,234.0,320.0,61.0,209.24590163934425,29.187700456245214,152.0,187.0,201.0,228.0,290.0,Non-normal residuals! ,3.9198112098934823,0.021868879049190826,0.4852,0.0235,0.1427,20.75370568458655,3.114512448572031e-05,3.861643180947695,0.14502899508134864
value__standard_deviation,156.0,11.848950064219538,4.376998125915886,5.745108485128959,8.780911337932581,11.091023656855299,13.546366482629058,26.13727901170031,30.0,7.777277897240739,1.2045284148172202,5.745108485128959,6.657143323767107,7.882921136000186,8.889542964597059,9.477810340095823,65.0,9.953317681803188,2.1042011233618054,5.815672286092062,8.672285792509532,10.257340023758022,11.328464694841385,13.92154072667995,61.0,15.871347930882273,3.928894378623925,10.212577908923093,12.285958902811194,16.976071624586634,17.907600941558847,26.13727901170031,Non-normal residuals! Heteroscedastic samples! ,104.99880405564119,1.9781378838062242e-29,0.0021,0.001,0.001,19.11777560751307,7.057124410325733e-05,50.838260498193115,9.132969305156919e-12
value__variation_coefficient,156.0,40.743387583331376,410.5217329310321,-380.273729093987,-6.639268947005277,4.199850962360928,10.628778168443471,5026.101986210689,30.0,-11.978801107368975,72.77698942468781,-380.273729093987,-9.287033892936108,4.042943419887419,13.70162489841264,53.82384280665087,65.0,19.86425699081135,109.89970666770911,-83.95090321515416,-5.218457735833598,4.490996377355273,10.724677183023116,819.8272368296334,61.0,88.92058675111518,644.7474863976636,-133.06693775138388,-7.187686924420551,4.29591827974612,9.224690922056425,5026.101986210689,Non-normal residuals! Heteroscedastic samples! ,0.749098772662238,0.47451839215464986,0.9,0.5153,0.6058,122966.92981922365,0.0,213.21180487447145,5.030890134097064e-47
value__variance,156.0,159.4329218045735,124.94465277828942,33.00627150590076,77.10455913825538,123.01759965211035,183.50620427128592,683.1573541354696,30.0,61.88857723627466,18.752175129438196,33.00627150590076,44.31768404525214,62.14118663312617,79.02423541706392,89.82888884282731,65.0,103.42807735987526,40.977227279503154,33.82204413921927,75.2085408669627,105.21302436298824,128.3341123422677,193.80929620460853,61.0,267.08284354153005,135.76005067029453,104.29674754582392,150.94478616156564,288.1870078030955,320.68217148211926,683.1573541354696,Non-normal residuals! Heteroscedastic samples! ,74.79377944308104,2.2069260326986422e-23,0.0922,0.001,0.001,247.90869945907502,1.4699748505000863e-54,138.99557673691757,6.568920518512545e-31
value__skewness,156.0,0.5176232509514999,0.19324342513535378,-0.119220292963998,0.4035761254926715,0.5279551210858696,0.637877989272978,1.2017227233497436,30.0,0.5538236450501904,0.1844764874762672,0.1018400533606826,0.4180561685565086,0.5743418105683411,0.6793995955584985,0.8023171575558218,65.0,0.5799032757363717,0.17545144431151113,0.3152815961016517,0.4521509589737649,0.5602233851023025,0.6626791160877379,1.2017227233497436,61.0,0.43345581760760815,0.1874192064350317,-0.119220292963998,0.3301957872415695,0.4512326028219631,0.5736350815732625,0.7932369573913618,,10.929411790259199,3.658446545715558e-05,0.7732,0.0097,0.001,4.338063799807958,0.11428820579464868,0.28095169066929804,0.8689446537466063
value__kurtosis,156.0,-1.3393336667123912,0.23552201883558924,-1.7551480803121624,-1.495489330120491,-1.372920718997228,-1.2328805726928944,-0.0604797629638023,30.0,-1.2879577180954551,0.1766413873332163,-1.5380295335460834,-1.4085671510023603,-1.3137664992482478,-1.1460592177203364,-0.9274034529290942,65.0,-1.262860704631703,0.2781717205255285,-1.6107756336881542,-1.4528284068908623,-1.3420797907085724,-1.1651190708572017,-0.0604797629638023,61.0,-1.4460881092329287,0.16259845677884235,-1.7551480803121624,-1.571251524593683,-1.4446968820694994,-1.3286220014555905,-1.0093529626016022,Non-normal residuals! Heteroscedastic samples! ,11.865361463024975,1.6200272859204592e-05,0.8497,0.0045,0.001,236.70936010503917,3.973887295147841e-52,19.57406374005085,5.617538591612994e-05
value__root_mean_square,156.0,12.026626041383732,4.395292442672601,5.821505108015067,8.917692174467605,11.264122580920077,13.819823720186918,26.62990500824197,30.0,7.897834212250459,1.1134734260410517,6.118422808862053,6.7597241390117,7.915826285242852,8.987068330445423,9.480651765592684,65.0,10.1323418854189,2.1049606767693643,5.821505108015067,8.759339140868153,10.478508266065516,11.38463323208398,14.24858254392374,61.0,16.075678910428195,3.937257730934423,10.850547414908467,12.560760775682994,17.05459594264884,18.001981711366696,26.62990500824197,Non-normal residuals! Heteroscedastic samples! ,106.80755673555043,9.2640645603127e-30,0.0015,0.001,0.001,24.72017866673054,4.286288575583525e-06,54.815099176555066,1.2504100376586558e-12
value__absolute_sum_of_changes,156.0,66.33927269263192,23.322393128927686,33.681489142071726,49.46874192611652,60.466599262980324,76.43428192400974,139.88070002776,30.0,45.46787383758688,7.505800762715048,34.995920671678,37.98198868158737,46.63698314535474,52.254153401499295,56.58312841030407,65.0,56.48588860366401,11.52223414216016,33.681489142071726,47.72228611280707,58.58610099861368,64.9759016549963,77.81544014823118,61.0,87.1034027161444,21.794452116191245,55.46,70.77811411488833,87.86226819943384,96.94809692561404,139.88070002776,Non-normal residuals! Heteroscedastic samples! ,90.45902154555806,1.1760969805883754e-26,0.0057,0.001,0.001,16.27583270627483,0.00029224550069236035,46.25775170591346,9.021044900364542e-11
value__longest_strike_below_mean,156.0,75.67307692307692,16.38495118424751,49.0,63.0,76.0,82.0,141.0,30.0,79.7,9.656693229979457,50.0,74.5,81.0,83.75,96.0,65.0,77.56923076923077,19.24266843401763,55.0,65.0,74.0,81.0,141.0,61.0,71.67213114754098,15.00746626569079,49.0,58.0,72.0,81.0,114.0,Non-normal residuals! Heteroscedastic samples! ,3.2516896398992463,0.04139977513799431,0.8027,0.0696,0.1044,78.55538124378005,8.748139524611696e-18,16.081626858007258,0.0003220468812725135
