feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
"value_norm__fft_coefficient__attr_""angle""__coeff_15",156.0,15.20860038033838,92.68354117343412,-170.02597862959658,-83.00106767622145,74.0464234107609,97.35322984168525,164.74458787408227,30.0,-8.122204482606156,103.53805794173154,-165.23566748372218,-86.21484640847203,-65.73220819669298,102.99220861567753,164.74458787408227,65.0,22.698098279209805,86.95842572513021,-96.39007254324056,-80.84000038935443,84.31239961111797,95.409801331867,130.77896947167463,61.0,18.702154191185805,92.72987742796575,-170.02597862959658,-82.5976125637931,73.15942656137145,99.60282313836204,140.24361229081745,,0.1343291675068956,0.4411246081190212,0.21529315729313958,0.36620505041683205,0.8032886813583677,0.3960404493266568
"value_norm__fft_coefficient__attr_""angle""__coeff_16",156.0,16.036138261725775,92.62497113298434,-164.8782072049202,-81.86725286279038,79.93077016494985,97.61000889967401,178.7779584253347,30.0,2.2985438967644685,89.24369103900885,-115.34055924838889,-77.76428428728192,-51.011801044936604,96.43005771335336,147.82460185894865,65.0,28.4060577058486,89.66875174738858,-103.82381717902548,-81.48956378369671,93.93359642472208,97.8769532651205,178.7779584253347,61.0,9.611270508952916,97.13559180604499,-164.8782072049202,-84.9224817314111,49.02613513512975,97.42160723340876,154.7365670773558,,0.18972387951302658,0.2727610247036795,0.729771232413009,0.35986998897061684,0.2609287592679622,0.0962187539838314
"value_norm__fft_coefficient__attr_""angle""__coeff_17",156.0,13.91434835649824,95.39604406498157,-175.83564365578104,-83.73116980340791,78.20757702893772,97.72953433059253,141.13991805351597,30.0,-6.814365245488059,96.11545958987837,-175.83564365578104,-84.43649059312276,-72.56033373108914,97.44801768948454,129.2245729191565,65.0,27.427562052943728,91.05493904131504,-96.809183028651,-82.98335654675145,95.22244258211596,97.9583163567455,141.13991805351597,61.0,9.709471598967614,98.84272373916275,-166.98824531079637,-84.39989624648224,61.12534081708756,97.87162772041216,136.284861772605,,0.09744994097511658,0.09939117397030689,0.4514020237324742,0.3693864361216038,0.29699620885351546,0.11301465749103595
"value_norm__fft_coefficient__attr_""angle""__coeff_18",156.0,19.06786400309604,94.15588976284828,-169.82506919370127,-81.82403512077435,86.34496570933102,99.53354547771009,175.64306275201346,30.0,-6.906012522659724,97.52485444116628,-161.6802269809598,-83.80956084565598,-55.18474647415815,99.01688924136404,137.70982337449863,65.0,28.58379459877226,90.74679273761342,-108.87756535176862,-80.4127551811936,94.67001637976875,98.67834214773872,159.58243784162815,61.0,21.701975594140638,95.28180744080701,-169.82506919370127,-81.4798146862954,76.69864415051909,100.28811845550632,175.64306275201346,,0.08685146646274118,0.12365131568410809,0.18492431572579454,0.11777728743557797,0.6786815704969875,0.4805327427202617
"value_norm__fft_coefficient__attr_""angle""__coeff_19",156.0,22.175746410397316,93.90413324221448,-162.8781242267072,-81.75481438865215,87.09477181511704,98.99519900825092,171.35176111080534,30.0,2.7126516007110206,93.94598565288823,-142.91778660324965,-82.67128436511122,-48.653930480889095,96.91273452127504,140.71678457576385,65.0,26.62104141120803,91.98494523011078,-127.76035577643886,-81.1671116934543,94.9423565748361,98.79833061894408,171.35176111080534,61.0,27.01097049626438,96.19811090300216,-162.8781242267072,-80.81633745617295,91.7636490150564,100.9922890307905,163.87979437175278,,0.24509339930097573,0.13899000773847386,0.25679163363308893,0.1245780619228038,0.9814816901918817,0.36996252414790853
"value_norm__fft_coefficient__attr_""angle""__coeff_20",156.0,20.366923028061276,93.01876730364378,-165.2103325667856,-82.36428284430049,89.96155698860309,99.62902960089312,156.997603620568,30.0,-3.4432133278707284,91.17710296496378,-108.81845223249393,-83.639201901437,-64.1565492715449,98.04476228460139,128.67227905869947,65.0,28.87658186171803,90.16557275190073,-109.22411623962734,-81.28210549250349,95.35218046732416,99.51543939260958,155.55746594849063,61.0,23.009156904950984,96.40209472349582,-165.2103325667856,-83.36670747718601,86.3426801574527,101.6469617539278,156.997603620568,,0.10898317252667791,0.06360203396439126,0.21377497478733518,0.13899150370313357,0.7246704437269635,0.42641729289761116
"value_norm__fft_coefficient__attr_""angle""__coeff_21",156.0,21.987075627364607,92.43117558649963,-148.88925538996574,-82.29972698900315,91.32293892608753,100.13463934648857,161.7664045776856,30.0,-4.8134871942459485,96.03359570351783,-111.71651996565096,-84.87786844783061,-70.6100277481616,98.39108209686113,159.14624263129457,65.0,29.7573166303499,88.43184587355431,-94.2919286659088,-81.37972752748988,95.32355261719414,99.98560777726456,125.44103986558312,61.0,26.887915290549405,93.92948633969556,-148.88925538996574,-80.26383055451511,86.81991267172384,100.74051039246852,161.7664045776856,,0.08809922648643606,0.06260995799863962,0.13652156132121182,0.1019361113070158,0.8600918138162059,0.4514331160497531
"value_norm__fft_coefficient__attr_""angle""__coeff_22",156.0,23.673570230678763,93.12850390723473,-155.06733617003636,-81.88073035081808,92.54372897038775,100.27860307621793,164.13621724026464,30.0,1.789747446456513,98.62453055123082,-137.93373522757307,-84.32513002808298,-59.708882525223736,102.84844235191149,159.12106173916976,65.0,30.615982032897048,90.60165100982216,-106.92719471200802,-80.78427900929195,97.10165863599327,99.95487845110355,137.07162639220965,61.0,27.03845410580133,92.9767414893889,-155.06733617003636,-82.1425268311156,92.19659550307834,100.22320186850486,164.13621724026464,,0.16435561821321146,0.1734157505092403,0.23577467082231768,0.28438331842078324,0.8272339161822911,0.2060743646680605
"value_norm__fft_coefficient__attr_""angle""__coeff_23",156.0,22.375962071779174,92.48272478219458,-178.89340729246925,-81.18025124886354,90.24369947001217,99.99217560350858,177.14583464836215,30.0,11.836542895283545,96.50512962612541,-89.82686566673048,-80.44247275397572,-51.31902410118056,101.35279733809574,177.14583464836215,65.0,22.812932155054636,92.12530745123928,-178.89340729246925,-81.33268489187996,96.78573359867984,99.90499237050828,115.05387837742234,61.0,27.093659119024508,91.99315138104686,-160.36302824198327,-81.3650133136625,89.77682179286403,99.74978097276856,149.2436763639189,,0.5961373729914997,0.34593552718462167,0.46618005559860476,0.42136653067300134,0.7946475923234163,0.5
"value_norm__fft_coefficient__attr_""angle""__coeff_24",156.0,19.549717910920485,92.38045078771,-161.80061264313736,-80.89468013517931,87.39770864881802,99.91337029780527,170.73941637895143,30.0,4.840545246488428,93.31781215712454,-98.06171080252328,-80.85860682372484,-64.92520809305547,97.8042251869714,170.73941637895143,65.0,24.06690679559576,93.17056010591118,-161.80061264313736,-81.53564427632068,96.43945225236078,100.15272474929463,125.97713734431004,61.0,21.970339262216687,91.87962532532185,-157.4282467413161,-80.4637117059966,87.04944486609962,98.0453565810834,136.17682371676364,,0.3524876531224861,0.21987414301349328,0.4077504144601344,0.27304187806690705,0.8990828855856763,0.3075487337165486
