feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,tukey-HSD_control_epah_pvalue,tukey-HSD_control_pah_pvalue,tukey-HSD_epah_pah_pvalue
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",156.0,0.0001465489799226,5.667076698249546e-05,2.8295240748767506e-05,0.0001047009928488,0.0001422675970884,0.0001774662053279,0.0002951724657872,30.0,0.0001427905150308,5.2214274635086135e-05,6.958457148434364e-05,9.802600428970624e-05,0.0001420992425928,0.0001755382261741,0.0002628328418943,65.0,0.0001224445974624,4.582983553435282e-05,2.8295240748767506e-05,9.080963177766884e-05,0.00012118442562,0.0001531661675475,0.0002786409001565,61.0,0.0001740824029828,5.771671181318935e-05,6.145580462498551e-05,0.0001333370024847,0.000168710577613,0.0002198886115159,0.0002951724657872,0.1821,0.021,0.001
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",156.0,0.0078013279969492,0.001998259262795,0.0032587507256613,0.0062978822110636,0.0078338690573284,0.0090911754970355,0.0125376014120779,30.0,0.0076601217029602,0.0018577558420507,0.0048502670091311,0.0060818554925679,0.0078013385307717,0.0092431039775262,0.0107456854641691,65.0,0.0072171332670778,0.0017942934122176,0.0032587507256613,0.0059592506851859,0.0074745789223482,0.0085885592323801,0.0106076360903756,61.0,0.008493276296315,0.0020848642549885,0.004430084719505,0.0070481097913213,0.0081338487957094,0.0102002415682467,0.0125376014120779,0.5484,0.1308,0.001
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",156.0,0.0096641956323227,0.0030119583893103,0.0022846825789686,0.0073439580942739,0.0098122801130831,0.0118647406508596,0.0179497823843162,30.0,0.008726431223081,0.0029069861807569,0.0034804087761192,0.0067373067303089,0.008761247321061,0.0111599263214031,0.0137290085718538,65.0,0.0087527450762505,0.0026248601218445,0.0022846825789686,0.0069538162893704,0.0087415806997959,0.0106614358785894,0.014000553993974,61.0,0.0110966090490758,0.0029285473480634,0.0039038570625981,0.009001815767617,0.0112393891203134,0.0126809414872547,0.0179497823843162,0.9,0.001,0.001
"value_norm__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",156.0,0.000350832748598,0.0001586585469006,6.298864415937024e-06,0.0002411110501373,0.0003471310736115,0.000438740847302,0.0008096030505511,30.0,0.0003190307970225,0.0001295389210271,0.0001072416336169,0.000216117856624,0.0003231180108989,0.0004161136558272,0.0005315653829627,65.0,0.0002781335944563,0.0001297731418937,6.298864415937024e-06,0.0001971814372375,0.000300625563058,0.0003616093306624,0.00059389958811,61.0,0.0004439393644418,0.0001546290565243,0.000152556838034,0.0003347101063664,0.0004204327172693,0.000575156022473,0.0008096030505511,0.3857,0.001,0.001
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",156.0,0.0149400246841953,0.0052163332434023,0.001473323475797,0.0118271000469671,0.0154014349276945,0.0185952990483763,0.0267524633285865,30.0,0.013264515043399,0.0042556287081881,0.0059158736998529,0.0099545758469624,0.0138645238520824,0.0163326856681411,0.0199490641501073,65.0,0.0130393747055386,0.0050313845461665,0.001473323475797,0.0105570662367388,0.0142556341051757,0.0166221147810947,0.023171959050072,61.0,0.0177893285831556,0.0045788634872838,0.0066374949303061,0.0149499381754789,0.0181227767278086,0.0203148525425019,0.0267524633285865,0.9,0.001,0.001
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",156.0,0.0245487366620939,0.0058569485829848,0.00720493428008,0.0206091022593084,0.0241096453963042,0.0290989373209275,0.0375315482786522,30.0,0.0265362722496697,0.0060683973583205,0.0142435138548651,0.0207432792768074,0.0281805872099817,0.0318329455229412,0.0342095710415604,65.0,0.0264916988042654,0.0046458622973226,0.0175273126754289,0.0232603989163284,0.025475919568966,0.029189411194057,0.0375315482786522,61.0,0.0215008906478574,0.0056821916497676,0.00720493428008,0.0176045464037582,0.0210239695280593,0.025217065320402,0.0359064074368114,0.9,0.001,0.001
"value_norm__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",156.0,0.0163988492416106,0.0037209228485459,0.0050559820569524,0.0137929482558298,0.0164518585589124,0.018785389224005,0.0270309732183684,30.0,0.0175922001079454,0.0030331584454504,0.0114631716661244,0.0156722947107168,0.0179296892403938,0.0203129731636608,0.0224078172141717,65.0,0.0175717287734186,0.0033745114965397,0.0115626468778001,0.0149005624259075,0.01723207246089,0.01915006976649,0.0270309732183684,61.0,0.0145621657078801,0.0036799196767233,0.0050559820569524,0.0125965249556124,0.0143208526894895,0.0171787411291513,0.0231438736703212,0.9,0.001,0.001
"value_norm__fft_coefficient__attr_""imag""__coeff_4",156.0,-1.915582819159904,24.68170168115688,-49.96757311925069,-21.229383328259072,-5.785955700824058,21.22517114577436,51.0254669480223,30.0,13.950322207960804,23.743476506470483,-38.920965232850726,-3.586804400906095,22.91372602678436,28.848190216646337,44.12650234472791,65.0,1.9054052080544197,24.83788610862685,-49.96757311925069,-19.32354128974168,0.7030457468927901,24.586928447215016,51.0254669480223,61.0,-13.790031550021418,18.92537407958269,-49.42164205657565,-26.313240069887044,-14.0673828075023,-1.5197838322777415,26.41540930403618,0.043,0.001,0.001
"value_norm__fft_coefficient__attr_""abs""__coeff_2",156.0,115.96777233013152,33.71718796683037,25.727815421824925,93.08320738467316,116.19744688765572,138.56765214110732,212.57922998060985,30.0,126.99086351028312,31.979385542229245,66.93463808185984,108.5771604357782,128.6235079798307,148.45744022091316,191.1984027683226,65.0,125.20597181919396,31.33783419680471,68.04431952819516,105.5156754718252,122.30059523559524,146.96329628387284,212.57922998060985,61.0,100.70259688433488,31.70036224195293,25.727815421824925,81.40551048854215,101.48292627751268,123.87285378694982,190.2787327747435,0.9,0.001,0.001
"value_norm__fft_coefficient__attr_""abs""__coeff_4",156.0,29.73603394467574,12.352135637762276,2.342008883211669,21.626464061697423,28.270385215470704,39.372800088304345,55.12240647686499,30.0,39.827972366381005,9.243252146209723,16.515505005845256,34.07033897707479,38.69558684257008,48.883483653051286,52.776210335917256,65.0,28.04593350200542,10.891184903330029,2.342008883211669,22.151031746249625,25.891527193284304,36.04135387171973,55.12240647686499,61.0,26.57371224176448,12.733697130089114,4.983476600685713,17.51571933108773,25.25925113864169,33.40063884550458,54.129337956919606,0.001,0.001,0.7294
