feature,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",156.0,5.048324849993816e-06,2.738401160283109e-05,-8.985122501461042e-05,-9.293602690584213e-06,2.496439757140757e-06,2.06683679978863e-05,0.0001203017103667,30.0,2.420230115580307e-05,2.3323766070867336e-05,-2.732767395279508e-05,1.5956766259834227e-05,2.740684981541804e-05,3.424195895650169e-05,0.0001066764785274,65.0,5.824715035588702e-06,2.994810542372028e-05,-7.659237739807892e-05,-8.306763820063969e-06,2.540277461393297e-06,1.713443838544115e-05,0.0001203017103667,61.0,-5.198964514562657e-06,2.0657663947710232e-05,-8.985122501461042e-05,-1.4478162793312274e-05,-2.533173694370461e-06,6.815220670491264e-06,3.155315060111369e-05,0.0038085233576757,6.590293270703214e-05,2.5215246076398272e-08,2.523665707360786e-08,0.0183478170302039,0.0104711453294678
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",156.0,-0.0391337716044551,0.0682048314663442,-0.2182094539796645,-0.084106748239234,-0.0487131313213562,0.0069489497110162,0.1242572225767957,30.0,0.0157252630158541,0.063782926166438,-0.1171293004053235,-0.024240513840499,0.0078470510058933,0.0612286311335785,0.1183598148424391,65.0,-0.0261996080924257,0.0665234509967716,-0.151356038337705,-0.0671465808024786,-0.0330729815807897,0.0278168772411587,0.1242572225767957,61.0,-0.0798959300780813,0.0442204545677365,-0.2182094539796645,-0.0967718372885931,-0.0769686445611315,-0.0494655106291185,0.0170120968312265,0.0047672946863987,0.0055104656493481,8.708882963623366e-13,4.77986761597709e-10,5.119761224722954e-07,2.749089066260611e-06
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",156.0,-0.0391087183513275,0.0474959089743664,-0.177267270796667,-0.0695715540322428,-0.0411490156969647,-0.0145261206618482,0.0910818790203205,30.0,-0.0100032431936517,0.0483936239485236,-0.1190863622496206,-0.0443393603066382,-0.0180600644642145,0.0175883526829155,0.0826196589112682,65.0,-0.031282824595391,0.0473309832134116,-0.1380734518950986,-0.0650513782947754,-0.0341202522199849,0.0005768649080511,0.0910818790203205,61.0,-0.0617619535786413,0.0359791352251261,-0.177267270796667,-0.0793896641492024,-0.0591611092810491,-0.036182931122375,0.0087921915661515,0.0459812758950764,0.0387471988178539,1.2985839937409378e-07,7.306836674260909e-07,8.977531745653933e-05,0.000232500560187
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",156.0,-0.0394093751720542,0.0568437197013625,-0.2007421827140547,-0.0761144454509946,-0.0403089612226884,-0.0074948262363108,0.1071228493313228,30.0,0.0024711417944443,0.0544199750256071,-0.1191140757651756,-0.0292193678217939,-0.0061459621736512,0.045855759212938,0.093494386754301,65.0,-0.0288884832260673,0.0555829585817105,-0.1405099782698866,-0.0686606142380733,-0.0325753407051591,0.0124925823945674,0.1071228493313228,61.0,-0.0712171372291706,0.0399368613162516,-0.2007421827140547,-0.0928211617822762,-0.070856719200725,-0.0388377384893847,0.0131163355701495,0.0116702913023642,0.0098013215464977,1.0748116884066379e-10,3.074346960753726e-09,3.1747253305051337e-06,1.4976996669021294e-05
"value_norm__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",156.0,0.0006485545810604,0.0031968629071418,-0.0103324652758648,-0.0007696644439258,0.0004572484633599,0.0024217371025732,0.0138135208812688,30.0,0.0029382283366903,0.0028696333120884,-0.0022457935103549,0.0011449321622623,0.0023348459885561,0.0045985136727826,0.0129925646989529,65.0,0.0008513400857929,0.0032344117652831,-0.0090344248350106,-0.0005810801563521,0.0004653738715211,0.0024892384004941,0.0138135208812688,61.0,-0.0006935973939643,0.0026010088629414,-0.0103324652758648,-0.0023335091288587,-0.0001740946904171,0.0006512633721494,0.0043286003737721,0.0032113904952374,0.0003588754934907,3.3348266862491365e-08,1.8958359849906224e-08,0.0038831468126321,0.0031778220368842
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",156.0,0.0034457491370024,9.258476149523664e-05,0.0028487000095789,0.003420002655807,0.0034777519066134,0.0035072319231567,0.0035322666646186,30.0,0.0034738889003955,5.540058749686263e-05,0.0032937980851055,0.0034569716346715,0.0034936003833448,0.0035162706919516,0.0035236787411861,65.0,0.0034618177900084,7.074124663349833e-05,0.0032264065100373,0.0034426493709326,0.0034906949023754,0.0035105811803359,0.0035322666646186,61.0,0.0034147875739339,0.0001169296029333,0.0028487000095789,0.0033958847422953,0.0034437347587281,0.0034893319772488,0.0035273195876157,0.4118284742299108,0.2175116153816151,0.0102823357578074,0.0004744764049919,0.0068367544401913,0.0002789147540641
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",156.0,0.0034037589356847,8.63781833725268e-05,0.0028711027591142,0.0033798476968039,0.0034343786928815,0.0034606291808586,0.0034820417117273,30.0,0.0034319316035911,4.719867218419009e-05,0.0032732517535319,0.0034187620165216,0.0034507807184213,0.0034653103577503,0.0034738715932174,65.0,0.0034143435821552,6.98266144900995e-05,0.0031655224092034,0.0033833265824405,0.0034445125503941,0.0034633425215059,0.0034820417117273,61.0,0.00337862480359,0.0001087967514324,0.0028711027591142,0.0033447512669918,0.0033963663742676,0.0034523843400577,0.003479421173842,0.2136682795751893,0.2417886142656545,0.0120875050498125,0.0027740195094205,0.029168447582045,0.0140193254070945
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",156.0,0.0034248156701667,8.907203869572383e-05,0.0028599804440259,0.0033994548065956,0.0034589231845703,0.0034841749538385,0.0034950089838866,30.0,0.0034529636396263,5.077701810214671e-05,0.0032834571971299,0.0034380617784205,0.0034718234017516,0.0034902571440504,0.0034950003674471,65.0,0.0034381537880236,6.982866859592226e-05,0.0031955837619729,0.0034110287171693,0.0034723252250441,0.0034866605290661,0.0034950089838866,61.0,0.0033967596579621,0.0001125134892959,0.0028599804440259,0.0033683506723352,0.0034223751423955,0.0034735849549032,0.0034926634971643,0.3008701679593084,0.2319053936038674,0.0108213344625185,0.0004077905763713,0.0138049219909707,0.0014748659462492
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",156.0,2.858729851308953e-06,9.030891536448964e-07,1.3067611429862631e-06,2.2094185444641697e-06,2.7018055821794467e-06,3.3083084652951777e-06,7.312046747737443e-06,30.0,3.396484777783932e-06,5.948857677464951e-07,2.3728787907496543e-06,2.8585904762411357e-06,3.444444817487176e-06,3.832418691158349e-06,4.38623828545656e-06,65.0,2.859171514391458e-06,1.0409410169952756e-06,1.628419291946199e-06,2.167762193032865e-06,2.642186942871529e-06,3.135670929995012e-06,7.312046747737443e-06,61.0,2.5937895907415386e-06,7.510617771265107e-07,1.3067611429862631e-06,1.98295063320894e-06,2.442646542418282e-06,3.0388960599415818e-06,4.950764137192303e-06,0.0099623443133404,5.784464152797029e-05,1.8010287748987028e-06,1.3119859702275323e-06,0.1052383507603798,0.08281388050519
"value_norm__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",156.0,0.0099124401267252,0.0002798197310803,0.0080930114175639,0.0098243744459458,0.0099933491567626,0.0100886652567676,0.0102212708137024,30.0,0.0099924399959648,0.0001774255578111,0.0094401262221712,0.0099353587762814,0.0100501822546358,0.0101251192720092,0.0101624769452327,65.0,0.0099678200786863,0.0002089166134495,0.0093203964788886,0.009886162106119,0.0100400009486449,0.0101040362325415,0.0102212708137024,61.0,0.0098140845045178,0.0003523406266738,0.0080930114175639,0.0097408951887602,0.0099181205501081,0.0100218001733726,0.0102003840101837,0.5776773904346757,0.3371198598021362,0.0106391868322186,0.000488970831166,0.0032566738649229,0.0001933750738639
